x_scaled,x_raw,phi,in_train_support
-5.405037359248666684e-01,-1.000000000000000000e+00,-6.461634252310179960e-01,0.000000000000000000e+00
-4.915887163175087782e-01,3.030303030302938794e-02,-4.401471602483633117e-01,1.000000000000000000e+00
-4.426736967101508879e-01,1.060606060606060552e+00,-2.527626160860518834e-01,1.000000000000000000e+00
-3.937586771027929977e-01,2.090909090909089940e+00,-8.313456215454284592e-02,1.000000000000000000e+00
-3.448436574954351075e-01,3.121212121212121104e+00,6.961223213570699730e-02,1.000000000000000000e+00
-2.959286378880772173e-01,4.151515151515151381e+00,2.063529973742407320e-01,1.000000000000000000e+00
-2.470136182807192715e-01,5.181818181818182545e+00,3.279629641506002224e-01,1.000000000000000000e+00
-1.980985986733613813e-01,6.212121212121212821e+00,4.353173630543274997e-01,1.000000000000000000e+00
-1.491835790660034911e-01,7.242424242424243985e+00,5.292914246749659268e-01,1.000000000000000000e+00
-1.002685594586456008e-01,8.272727272727273373e+00,6.107603796020573128e-01,1.000000000000000000e+00
-5.135353985128771059e-02,9.303030303030304538e+00,6.805994584251445767e-01,1.000000000000000000e+00
-2.438520243929764852e-03,1.033333333333333570e+01,7.396838917337700270e-01,1.000000000000000000e+00
4.647649936342812538e-02,1.136363636363636687e+01,7.888889101174760832e-01,1.000000000000000000e+00
9.539151897078601561e-02,1.239393939393939625e+01,8.290897441658052758e-01,1.000000000000000000e+00
1.443065385781439058e-01,1.342424242424242742e+01,8.611616244683000243e-01,1.000000000000000000e+00
1.932215581855017961e-01,1.445454545454545681e+01,8.859797816145029703e-01,1.000000000000000000e+00
2.421365777928596863e-01,1.548484848484848797e+01,9.044194461939564222e-01,1.000000000000000000e+00
2.910515974002175765e-01,1.651515151515151913e+01,9.173489036736153235e-01,1.000000000000000000e+00
3.399666170075754668e-01,1.754545454545454675e+01,9.254767017009178920e-01,1.000000000000000000e+00
3.888816366149333570e-01,1.857575757575757791e+01,9.293516501037862865e-01,1.000000000000000000e+00
4.377966562222912472e-01,1.960606060606060908e+01,9.295156135875545234e-01,1.000000000000000000e+00
4.867116758296491374e-01,2.063636363636364024e+01,9.265104568575569521e-01,1.000000000000000000e+00
5.356266954370071387e-01,2.166666666666667140e+01,9.208780446191279223e-01,1.000000000000000000e+00
5.845417150443649179e-01,2.269696969696970257e+01,9.131602415776015613e-01,1.000000000000000000e+00
6.334567346517229192e-01,2.372727272727273373e+01,9.038989124383123297e-01,1.000000000000000000e+00
6.823717542590806984e-01,2.475757575757576134e+01,8.936359219065942439e-01,1.000000000000000000e+00
7.312867738664386996e-01,2.578787878787879606e+01,8.829131346877817643e-01,1.000000000000000000e+00
7.802017934737964788e-01,2.681818181818182012e+01,8.722724154872091296e-01,1.000000000000000000e+00
8.291168130811544801e-01,2.784848484848485484e+01,8.622556290102103560e-01,1.000000000000000000e+00
