x_scaled,x_raw,phi,in_train_support
-6.225361024477931160e-01,-1.000000000000000000e+00,-8.793511956659039175e-02,0.000000000000000000e+00
-5.887847824604287572e-01,3.030303030303116429e-02,-7.459705412102304867e-02,1.000000000000000000e+00
-5.550334624730643984e-01,1.060606060606062329e+00,-6.425209970444450969e-02,1.000000000000000000e+00
-5.212821424857000396e-01,2.090909090909091717e+00,-5.658725479819021187e-02,1.000000000000000000e+00
-4.875308224983357364e-01,3.121212121212121104e+00,-5.128951788359573105e-02,1.000000000000000000e+00
-4.537795025109713776e-01,4.151515151515150492e+00,-4.804588744199667083e-02,1.000000000000000000e+00
-4.200281825236070743e-01,5.181818181818179880e+00,-4.654336195472846827e-02,1.000000000000000000e+00
-3.862768625362427155e-01,6.212121212121211045e+00,-4.646893990312664369e-02,1.000000000000000000e+00
-3.525255425488783567e-01,7.242424242424242209e+00,-4.750961976852685620e-02,1.000000000000000000e+00
-3.187742225615139979e-01,8.272727272727273373e+00,-4.935240003226448735e-02,1.000000000000000000e+00
-2.850229025741496391e-01,9.303030303030302761e+00,-5.168427917567522401e-02,1.000000000000000000e+00
-2.512715825867853359e-01,1.033333333333333215e+01,-5.419225568009444771e-02,1.000000000000000000e+00
-2.175202625994209771e-01,1.136363636363636331e+01,-5.656332802685787309e-02,1.000000000000000000e+00
-1.837689426120566183e-01,1.239393939393939448e+01,-5.848449469730093719e-02,1.000000000000000000e+00
-1.500176226246923150e-01,1.342424242424242209e+01,-5.964275417275907709e-02,1.000000000000000000e+00
-1.162663026373279562e-01,1.445454545454545325e+01,-5.972510493456800740e-02,1.000000000000000000e+00
-8.251498264996359744e-02,1.548484848484848442e+01,-5.841854546406319293e-02,1.000000000000000000e+00
-4.876366266259923865e-02,1.651515151515151558e+01,-5.542417131500079752e-02,1.000000000000000000e+00
-1.501234267523487986e-02,1.754545454545454675e+01,-5.076731070681278490e-02,1.000000000000000000e+00
1.873897731212947892e-02,1.857575757575757791e+01,-4.479752452460694645e-02,1.000000000000000000e+00
5.249029729949383771e-02,1.960606060606060908e+01,-3.787847072591152275e-02,1.000000000000000000e+00
8.624161728685808548e-02,2.063636363636363669e+01,-3.037380726825489319e-02,1.000000000000000000e+00
1.199929372742224443e-01,2.166666666666666430e+01,-2.264719210916546488e-02,1.000000000000000000e+00
1.537442572615868031e-01,2.269696969696969546e+01,-1.506228320617158944e-02,1.000000000000000000e+00
1.874955772489511618e-01,2.372727272727272663e+01,-7.982738516801618500e-03,1.000000000000000000e+00
2.212468972363155206e-01,2.475757575757575779e+01,-1.772215998583903662e-03,1.000000000000000000e+00
2.549982172236798794e-01,2.578787878787878896e+01,3.205626390953147942e-03,1.000000000000000000e+00
2.887495372110442382e-01,2.681818181818182012e+01,6.587130694281240206e-03,1.000000000000000000e+00
3.225008571984084860e-01,2.784848484848484773e+01,8.008638953871924371e-03,1.000000000000000000e+00
3.562521771857728448e-01,2.887878787878787890e+01,7.106493212196932086e-03,1.000000000000000000e+00
3.900034971731372035e-01,2.990909090909091006e+01,3.517035511727828467e-03,1.000000000000000000e+00
4.237548171605016734e-01,3.093939393939394478e+01,-3.123392105063738100e-03,1.000000000000000000e+00
4.575061371478659211e-01,3.196969696969696884e+01,-1.317844759570607760e-02,1.000000000000000000e+00
4.912574571352301689e-01,3.300000000000000000e+01,-2.701178891772756940e-02,1.000000000000000000e+00
5.250087771225946387e-01,3.403030303030303116e+01,-4.479984695866340294e-02,1.000000000000000000e+00
5.587600971099588865e-01,3.506060606060606233e+01,-6.597014432607542500e-02,1.000000000000000000e+00
5.925114170973233563e-01,3.609090909090909349e+01,-8.976297655753254223e-02,1.000000000000000000e+00
6.262627370846876040e-01,3.712121212121212466e+01,-1.154186391906031617e-01,1.000000000000000000e+00
6.600140570720520738e-01,3.815151515151515582e+01,-1.421774277628563010e-01,1.000000000000000000e+00
6.937653770594163216e-01,3.918181818181818699e+01,-1.692796378118604506e-01,1.000000000000000000e+00
7.275166970467807914e-01,4.021212121212121815e+01,-1.959655648751846835e-01,1.000000000000000000e+00
7.612680170341450392e-01,4.124242424242424931e+01,-2.214755044903971015e-01,1.000000000000000000e+00
7.950193370215092870e-01,4.227272727272727337e+01,-2.450497521950666946e-01,1.000000000000000000e+00
8.287706570088737568e-01,4.330303030303030454e+01,-2.659286035267626191e-01,1.000000000000000000e+00
8.625219769962380045e-01,4.433333333333332860e+01,-2.833523540230529214e-01,1.000000000000000000e+00
8.962732969836024743e-01,4.536363636363636687e+01,-2.965612992215067578e-01,1.000000000000000000e+00
9.300246169709667221e-01,4.639393939393939092e+01,-3.047957346596924522e-01,1.000000000000000000e+00
9.637759369583311919e-01,4.742424242424242919e+01,-3.072959558751792164e-01,1.000000000000000000e+00
9.975272569456954397e-01,4.845454545454545325e+01,-3.033022584055353188e-01,1.000000000000000000e+00
1.031278576933059687e+00,4.948484848484848442e+01,-2.920549377883297493e-01,1.000000000000000000e+00
1.065029896920424157e+00,5.051515151515151558e+01,-2.728305057470871153e-01,1.000000000000000000e+00
1.098781216907788405e+00,5.154545454545454675e+01,-2.457384462823256621e-01,1.000000000000000000e+00
1.132532536895152875e+00,5.257575757575757791e+01,-2.117212156715556071e-01,1.000000000000000000e+00
1.166283856882517123e+00,5.360606060606060908e+01,-1.717574863782443395e-01,1.000000000000000000e+00
1.200035176869881592e+00,5.463636363636364024e+01,-1.268259308658581386e-01,1.000000000000000000e+00
1.233786496857245840e+00,5.566666666666667140e+01,-7.790522159786456013e-02,1.000000000000000000e+00
1.267537816844610088e+00,5.669696969696969546e+01,-2.597403103773046618e-02,1.000000000000000000e+00
1.301289136831974558e+00,5.772727272727273373e+01,2.798896835107808623e-02,1.000000000000000000e+00
1.335040456819338806e+00,5.875757575757575779e+01,8.300510410509326364e-02,1.000000000000000000e+00
1.368791776806703275e+00,5.978787878787878896e+01,1.380957037608487037e-01,1.000000000000000000e+00
1.402543096794067523e+00,6.081818181818182012e+01,1.922820948548771558e-01,1.000000000000000000e+00
1.436294416781431771e+00,6.184848484848484418e+01,2.445856049237119245e-01,1.000000000000000000e+00
1.470045736768796463e+00,6.287878787878788955e+01,2.940275615038865364e-01,1.000000000000000000e+00
1.503797056756160710e+00,6.390909090909091361e+01,3.396292921319331581e-01,1.000000000000000000e+00
1.537548376743524958e+00,6.493939393939393767e+01,3.804121243443853162e-01,1.000000000000000000e+00
1.571299696730889206e+00,6.596969696969696884e+01,4.153973856777761764e-01,1.000000000000000000e+00
1.605051016718253454e+00,6.700000000000000000e+01,4.436064036686390155e-01,1.000000000000000000e+00
1.638802336705618146e+00,6.803030303030303116e+01,4.643061442211934287e-01,1.000000000000000000e+00
1.672553656692982393e+00,6.906060606060606233e+01,4.777461267104048392e-01,1.000000000000000000e+00
