x_scaled,x_raw,phi,in_train_support
-1.366965609243962154e+00,-4.399999999999995026e-01,2.815065135839489585e-02,0.000000000000000000e+00
-1.315767885156429839e+00,1.333333333333186488e-02,1.954505350548449982e-01,1.000000000000000000e+00
-1.264570161068897303e+00,4.666666666666667851e-01,3.395269037559618397e-01,1.000000000000000000e+00
-1.213372436981364988e+00,9.199999999999999289e-01,4.617584927332689659e-01,1.000000000000000000e+00
-1.162174712893832451e+00,1.373333333333334849e+00,5.635240372583032453e-01,1.000000000000000000e+00
-1.110976988806300136e+00,1.826666666666666217e+00,6.462022726025917763e-01,1.000000000000000000e+00
-1.059779264718767600e+00,2.280000000000001137e+00,7.111719340376669862e-01,1.000000000000000000e+00
-1.008581540631235285e+00,2.733333333333334281e+00,7.598117568350604145e-01,1.000000000000000000e+00
-9.573838165437029701e-01,3.186666666666665648e+00,7.935004762663027122e-01,1.000000000000000000e+00
-9.061860924561704334e-01,3.640000000000000568e+00,8.136168276029263069e-01,1.000000000000000000e+00
-8.549883683686381186e-01,4.093333333333332824e+00,8.215395461164627378e-01,1.000000000000000000e+00
-8.037906442811056928e-01,4.546666666666666856e+00,8.186473670784408796e-01,1.000000000000000000e+00
-7.525929201935732671e-01,5.000000000000000000e+00,8.063190257603896072e-01,1.000000000000000000e+00
-7.013951961060408413e-01,5.453333333333334032e+00,7.859332574338466770e-01,1.000000000000000000e+00
-6.501974720185085266e-01,5.906666666666666288e+00,7.588687973703382994e-01,1.000000000000000000e+00
-5.989997479309761008e-01,6.359999999999999432e+00,7.265043808413951254e-01,1.000000000000000000e+00
-5.478020238434436751e-01,6.813333333333333464e+00,6.902187431185513589e-01,1.000000000000000000e+00
-4.966042997559112493e-01,7.266666666666666607e+00,6.513713725511145469e-01,1.000000000000000000e+00
-4.454065756683788235e-01,7.720000000000000639e+00,6.108790782773114714e-01,1.000000000000000000e+00
-3.942088515808465088e-01,8.173333333333332007e+00,5.692159902242828196e-01,1.000000000000000000e+00
-3.430111274933140830e-01,8.626666666666666927e+00,5.268369913969461749e-01,1.000000000000000000e+00
-2.918134034057815462e-01,9.080000000000001847e+00,4.841969648002200088e-01,1.000000000000000000e+00
-2.406156793182492315e-01,9.533333333333333215e+00,4.417507934390272339e-01,1.000000000000000000e+00
-1.894179552307169168e-01,9.986666666666666359e+00,3.999533603182836572e-01,1.000000000000000000e+00
-1.382202311431843800e-01,1.044000000000000128e+01,3.592595484429086383e-01,1.000000000000000000e+00
-8.702250705565206523e-02,1.089333333333333265e+01,3.201242408178224252e-01,1.000000000000000000e+00
-3.582478296811952845e-02,1.134666666666666757e+01,2.830023204479434895e-01,1.000000000000000000e+00
1.537294111941278629e-02,1.180000000000000071e+01,2.483486703381938554e-01,1.000000000000000000e+00
6.657066520694510103e-02,1.225333333333333208e+01,2.166181734934893299e-01,1.000000000000000000e+00
1.177683892944776378e-01,1.270666666666666700e+01,1.882657129187501610e-01,1.000000000000000000e+00
1.689661133820099526e-01,1.316000000000000014e+01,1.637461716188965966e-01,1.000000000000000000e+00
2.201638374695424893e-01,1.361333333333333329e+01,1.435144325988462199e-01,1.000000000000000000e+00
2.713615615570748041e-01,1.406666666666666643e+01,1.280253788635192791e-01,1.000000000000000000e+00
3.225592856446071188e-01,1.451999999999999957e+01,1.177338934178351337e-01,1.000000000000000000e+00
3.737570097321396556e-01,1.497333333333333272e+01,1.127843518317011018e-01,1.000000000000000000e+00
4.249547338196719704e-01,1.542666666666666586e+01,1.120790999349772221e-01,1.000000000000000000e+00
4.761524579072045071e-01,1.588000000000000078e+01,1.142099761225114918e-01,1.000000000000000000e+00
5.273501819947368219e-01,1.633333333333333215e+01,1.177688187891554605e-01,1.000000000000000000e+00
5.785479060822691366e-01,1.678666666666666529e+01,1.213474663297580136e-01,1.000000000000000000e+00
6.297456301698016734e-01,1.724000000000000199e+01,1.235377571391653717e-01,1.000000000000000000e+00
6.809433542573339881e-01,1.769333333333333158e+01,1.229315296122290846e-01,1.000000000000000000e+00
7.321410783448663029e-01,1.814666666666666472e+01,1.181206221437953729e-01,1.000000000000000000e+00
7.833388024323990617e-01,1.860000000000000142e+01,1.076968731287157865e-01,1.000000000000000000e+00
8.345365265199313765e-01,1.905333333333333456e+01,9.025212096183832244e-02,1.000000000000000000e+00
8.857342506074636912e-01,1.950666666666666771e+01,6.437820403801097768e-02,1.000000000000000000e+00
9.369319746949960059e-01,1.996000000000000085e+01,2.866696075208352568e-02,1.000000000000000000e+00
9.881296987825283207e-01,2.041333333333333400e+01,-1.828977050109514835e-02,1.000000000000000000e+00
1.039327422870061080e+00,2.086666666666666714e+01,-7.790015132667527098e-02,1.000000000000000000e+00
1.090525146957593394e+00,2.132000000000000028e+01,-1.515723433298088452e-01,1.000000000000000000e+00
1.141722871045125709e+00,2.177333333333333343e+01,-2.407145081156460975e-01,1.000000000000000000e+00
1.192920595132658024e+00,2.222666666666666657e+01,-3.466831272709316458e-01,1.000000000000000000e+00
1.244118319220190338e+00,2.267999999999999972e+01,-4.696460419590247071e-01,1.000000000000000000e+00
1.295316043307723097e+00,2.313333333333333286e+01,-6.085824529199013178e-01,1.000000000000000000e+00
1.346513767395255412e+00,2.358666666666666600e+01,-7.624198808751310175e-01,1.000000000000000000e+00
1.397711491482787727e+00,2.403999999999999915e+01,-9.300858465462806812e-01,1.000000000000000000e+00
1.448909215570320042e+00,2.449333333333333229e+01,-1.110507870654918072e+00,1.000000000000000000e+00
1.500106939657852356e+00,2.494666666666666544e+01,-1.302613473922614951e+00,1.000000000000000000e+00
1.551304663745385115e+00,2.540000000000000213e+01,-1.505330177070939968e+00,1.000000000000000000e+00
1.602502387832917430e+00,2.585333333333333172e+01,-1.717585500821458222e+00,1.000000000000000000e+00
1.653700111920449745e+00,2.630666666666666487e+01,-1.938306965895739697e+00,1.000000000000000000e+00
1.704897836007982059e+00,2.675999999999999801e+01,-2.166422093015352601e+00,1.000000000000000000e+00
1.756095560095514374e+00,2.721333333333333115e+01,-2.400858402901866917e+00,0.000000000000000000e+00
1.807293284183047133e+00,2.766666666666667140e+01,-2.640543416276851296e+00,0.000000000000000000e+00
1.858491008270579448e+00,2.811999999999999744e+01,-2.884404653861871726e+00,0.000000000000000000e+00
1.909688732358111762e+00,2.857333333333333059e+01,-3.131369636378498633e+00,0.000000000000000000e+00
1.960886456445644077e+00,2.902666666666666373e+01,-3.380365884548300226e+00,0.000000000000000000e+00
2.012084180533176614e+00,2.947999999999999687e+01,-3.630320919092846044e+00,0.000000000000000000e+00
2.063281904620708929e+00,2.993333333333333002e+01,-3.880411278806946918e+00,0.000000000000000000e+00
2.114479628708241243e+00,3.038666666666666316e+01,-4.130809574778395721e+00,0.000000000000000000e+00
2.165677352795773558e+00,3.083999999999999631e+01,-4.381937436168229283e+00,0.000000000000000000e+00
2.216875076883305873e+00,3.129333333333332945e+01,-4.634216492137484877e+00,0.000000000000000000e+00
2.268072800970838188e+00,3.174666666666666259e+01,-4.888068371847197113e+00,0.000000000000000000e+00
2.319270525058371391e+00,3.220000000000000284e+01,-5.143914704458408593e+00,0.000000000000000000e+00
2.370468249145903705e+00,3.265333333333333599e+01,-5.402177119132145933e+00,0.000000000000000000e+00
2.421665973233436020e+00,3.310666666666666913e+01,-5.663277245029449070e+00,0.000000000000000000e+00
2.472863697320968335e+00,3.356000000000000227e+01,-5.927636711311356166e+00,0.000000000000000000e+00
2.524061421408500649e+00,3.401333333333333542e+01,-6.195677147138903607e+00,0.000000000000000000e+00
2.575259145496032964e+00,3.446666666666666856e+01,-6.467820181673126889e+00,0.000000000000000000e+00
2.626456869583565279e+00,3.492000000000000171e+01,-6.744487444075062399e+00,0.000000000000000000e+00
2.677654593671097594e+00,3.537333333333332774e+01,-7.026100563505748298e+00,0.000000000000000000e+00
2.728852317758629908e+00,3.582666666666666089e+01,-7.313081169126219194e+00,0.000000000000000000e+00
2.780050041846162223e+00,3.627999999999999403e+01,-7.605850890097512362e+00,0.000000000000000000e+00
2.831247765933694538e+00,3.673333333333332718e+01,-7.904831355580663299e+00,0.000000000000000000e+00
2.882445490021226853e+00,3.718666666666666032e+01,-8.210482639017680384e+00,0.000000000000000000e+00
2.933643214108760056e+00,3.764000000000000057e+01,-8.524149032312864804e+00,0.000000000000000000e+00
2.984840938196292370e+00,3.809333333333333371e+01,-8.848059045832798120e+00,0.000000000000000000e+00
3.036038662283824685e+00,3.854666666666666686e+01,-9.184479634225050759e+00,0.000000000000000000e+00
3.087236386371357000e+00,3.900000000000000000e+01,-9.535677752137175389e+00,0.000000000000000000e+00
3.138434110458889315e+00,3.945333333333333314e+01,-9.903920354216740662e+00,0.000000000000000000e+00
3.189631834546421629e+00,3.990666666666666629e+01,-1.029147439511130813e+01,0.000000000000000000e+00
3.240829558633953944e+00,4.035999999999999943e+01,-1.070060682946843222e+01,0.000000000000000000e+00
3.292027282721486259e+00,4.081333333333332547e+01,-1.113358461193568161e+01,0.000000000000000000e+00
3.343225006809018574e+00,4.126666666666665861e+01,-1.159267469716061072e+01,0.000000000000000000e+00
3.394422730896550888e+00,4.171999999999999176e+01,-1.208014403979078466e+01,0.000000000000000000e+00
3.445620454984084091e+00,4.217333333333333201e+01,-1.259825959447377031e+01,0.000000000000000000e+00
3.496818179071616406e+00,4.262666666666666515e+01,-1.314928831585711855e+01,0.000000000000000000e+00
3.548015903159148721e+00,4.307999999999999829e+01,-1.373549715858839093e+01,0.000000000000000000e+00
3.599213627246681035e+00,4.353333333333333144e+01,-1.435915307731515078e+01,0.000000000000000000e+00
