x_scaled,x_raw,phi,in_train_support
-1.379036257294742329e+00,-7.710000000000007958e+00,-1.027963873844170983e+00,0.000000000000000000e+00
-1.323362142272180852e+00,2.336363636363500973e-01,-9.087055044047598340e-01,1.000000000000000000e+00
-1.267688027249619376e+00,8.177272727272736574e+00,-7.935210251872668596e-01,1.000000000000000000e+00
-1.212013912227057899e+00,1.612090909090909463e+01,-6.826123713898146761e-01,1.000000000000000000e+00
-1.156339797204496422e+00,2.406454545454545269e+01,-5.761814782105232347e-01,1.000000000000000000e+00
-1.100665682181935168e+00,3.200818181818181074e+01,-4.744302808475140409e-01,1.000000000000000000e+00
-1.044991567159373691e+00,3.995181818181816880e+01,-3.775607144989072683e-01,1.000000000000000000e+00
-9.893174521368122143e-01,4.789545454545452685e+01,-2.857747143628239783e-01,1.000000000000000000e+00
-9.336433371142507376e-01,5.583909090909091333e+01,-1.992742156373852325e-01,1.000000000000000000e+00
-8.779692220916892609e-01,6.378272727272727138e+01,-1.182611535207129805e-01,1.000000000000000000e+00
-8.222951070691277842e-01,7.172636363636364365e+01,-4.293746321092672957e-02,1.000000000000000000e+00
-7.666209920465663075e-01,7.967000000000000171e+01,2.649492009385134850e-02,1.000000000000000000e+00
-7.109468770240048308e-01,8.761363636363637397e+01,8.983406119550130242e-02,1.000000000000000000e+00
-6.552727620014433541e-01,9.555727272727274624e+01,1.468780248959022927e-01,1.000000000000000000e+00
-5.995986469788819884e-01,1.035009090909090901e+02,1.974248759969317035e-01,1.000000000000000000e+00
-5.439245319563205117e-01,1.114445454545454623e+02,2.412726793004713599e-01,1.000000000000000000e+00
-4.882504169337590350e-01,1.193881818181818346e+02,2.782194996083990901e-01,1.000000000000000000e+00
-4.325763019111975582e-01,1.273318181818181927e+02,3.080802258094377244e-01,1.000000000000000000e+00
-3.769021868886361926e-01,1.352754545454545507e+02,3.310567007897535774e-01,1.000000000000000000e+00
-3.212280718660747159e-01,1.432190909090909088e+02,3.477377214329520072e-01,1.000000000000000000e+00
-2.655539568435132391e-01,1.511627272727272953e+02,3.587289087094838180e-01,1.000000000000000000e+00
-2.098798418209517624e-01,1.591063636363636533e+02,3.646358835897975936e-01,1.000000000000000000e+00
-1.542057267983902857e-01,1.670500000000000114e+02,3.660642670443463587e-01,1.000000000000000000e+00
-9.853161177582880903e-02,1.749936363636363978e+02,3.636196800435795851e-01,1.000000000000000000e+00
-4.285749675326733232e-02,1.829372727272727559e+02,3.579077435579463007e-01,1.000000000000000000e+00
1.281661826929414438e-02,1.908809090909091140e+02,3.495340785579004184e-01,1.000000000000000000e+00
6.849073329185562109e-02,1.988245454545455004e+02,3.391043060138905219e-01,1.000000000000000000e+00
1.241648483144168758e-01,2.067681818181818301e+02,3.272240468963660831e-01,1.000000000000000000e+00
1.798389633369783525e-01,2.147118181818181881e+02,3.144989221757792386e-01,1.000000000000000000e+00
2.355130783595398292e-01,2.226554545454545746e+02,3.015345528225807925e-01,1.000000000000000000e+00
2.911871933821013059e-01,2.305990909090909327e+02,2.889365598072206609e-01,1.000000000000000000e+00
3.468613084046627826e-01,2.385427272727272907e+02,2.773105641001487598e-01,1.000000000000000000e+00
4.025354234272242593e-01,2.464863636363636488e+02,2.672621866718158934e-01,1.000000000000000000e+00
4.582095384497857360e-01,2.544300000000000352e+02,2.593970484926741982e-01,1.000000000000000000e+00
5.138836534723472127e-01,2.623736363636363649e+02,2.541631478046602055e-01,1.000000000000000000e+00
5.695577684949086894e-01,2.703172727272727798e+02,2.513779919356693426e-01,1.000000000000000000e+00
6.252318835174699441e-01,2.782609090909090810e+02,2.507014654850805435e-01,1.000000000000000000e+00
6.809059985400314208e-01,2.862045454545454959e+02,2.517934530522758507e-01,1.000000000000000000e+00
7.365801135625928975e-01,2.941481818181818539e+02,2.543138392366359746e-01,1.000000000000000000e+00
7.922542285851543742e-01,3.020918181818182120e+02,2.579225086375434017e-01,1.000000000000000000e+00
8.479283436077158509e-01,3.100354545454545701e+02,2.622793458543775102e-01,1.000000000000000000e+00
9.036024586302773276e-01,3.179790909090909281e+02,2.670442354865212309e-01,1.000000000000000000e+00
