x_scaled,x_raw,phi,in_train_support
-3.941878607254035050e+00,2.736849999999998545e+03,-4.988147688449918071e+00,0.000000000000000000e+00
-3.883252222690057209e+00,2.947186363636363239e+03,-4.466914802665304940e+00,0.000000000000000000e+00
-3.824625838126079813e+00,3.157522727272726115e+03,-3.980246429769916716e+00,0.000000000000000000e+00
-3.765999453562101973e+00,3.367859090909090810e+03,-3.527143736925363093e+00,0.000000000000000000e+00
-3.707373068998124133e+00,3.578195454545453686e+03,-3.106607891293260870e+00,0.000000000000000000e+00
-3.648746684434146736e+00,3.788531818181816561e+03,-2.717640060035232175e+00,0.000000000000000000e+00
-3.590120299870168896e+00,3.998868181818181256e+03,-2.359241410312884035e+00,0.000000000000000000e+00
-3.531493915306191056e+00,4.209204545454545951e+03,-2.030413109287838136e+00,0.000000000000000000e+00
-3.472867530742213660e+00,4.419540909090907007e+03,-1.730156324121710831e+00,0.000000000000000000e+00
-3.414241146178235820e+00,4.629877272727271702e+03,-1.457472221976114479e+00,0.000000000000000000e+00
-3.355614761614257979e+00,4.840213636363636397e+03,-1.211361970012666545e+00,0.000000000000000000e+00
-3.296988377050280583e+00,5.050549999999999272e+03,-9.908267353929847143e-01,0.000000000000000000e+00
-3.238361992486302743e+00,5.260886363636362148e+03,-7.948676852786820124e-01,0.000000000000000000e+00
-3.179735607922324903e+00,5.471222727272726843e+03,-6.224859868313756817e-01,0.000000000000000000e+00
-3.121109223358347506e+00,5.681559090909089718e+03,-4.726828072126830760e-01,0.000000000000000000e+00
-3.062482838794369666e+00,5.891895454545454413e+03,-3.444593135842173859e-01,0.000000000000000000e+00
-3.003856454230391826e+00,6.102231818181817289e+03,-2.368166731075960763e-01,0.000000000000000000e+00
-2.945230069666414430e+00,6.312568181818180165e+03,-1.487453073301900908e-01,0.000000000000000000e+00
-2.886603685102436589e+00,6.522904545454544859e+03,-7.898848867171781585e-02,0.000000000000000000e+00
-2.827977300538458749e+00,6.733240909090909554e+03,-2.604234042424935502e-02,0.000000000000000000e+00
-2.769350915974481353e+00,6.943577272727270611e+03,1.160775973439132081e-02,1.000000000000000000e+00
-2.710724531410503513e+00,7.153913636363635305e+03,3.547643412638024074e-02,1.000000000000000000e+00
-2.652098146846525673e+00,7.364250000000000000e+03,4.707830507389398900e-02,1.000000000000000000e+00
-2.593471762282548276e+00,7.574586363636362876e+03,4.792799489910803956e-02,1.000000000000000000e+00
-2.534845377718570436e+00,7.784922727272725751e+03,3.954012592419930971e-02,1.000000000000000000e+00
-2.476218993154592596e+00,7.995259090909090446e+03,2.342932047134349549e-02,1.000000000000000000e+00
-2.417592608590615200e+00,8.205595454545453322e+03,1.110200862717070081e-03,1.000000000000000000e+00
-2.358966224026637359e+00,8.415931818181818016e+03,-2.590261057950449253e-02,1.000000000000000000e+00
-2.300339839462659519e+00,8.626268181818180892e+03,-5.609449153314438608e-02,1.000000000000000000e+00
-2.241713454898682123e+00,8.836604545454543768e+03,-8.795081967602658146e-02,1.000000000000000000e+00
-2.183087070334704283e+00,9.046940909090908463e+03,-1.199569726859752716e-01,1.000000000000000000e+00
-2.124460685770726442e+00,9.257277272727271338e+03,-1.505983282408140944e-01,1.000000000000000000e+00
-2.065834301206749046e+00,9.467613636363636033e+03,-1.783602640183667987e-01,1.000000000000000000e+00
-2.007207916642771206e+00,9.677949999999998909e+03,-2.017281576964574663e-01,1.000000000000000000e+00
-1.948581532078793366e+00,9.888286363636363603e+03,-2.195126017190076606e-01,1.000000000000000000e+00
-1.889955147514815526e+00,1.009862272727272648e+04,-2.318250475943314237e-01,1.000000000000000000e+00
-1.831328762950838129e+00,1.030895909090909117e+04,-2.391021615968402791e-01,1.000000000000000000e+00
-1.772702378386860289e+00,1.051929545454545405e+04,-2.417806100009461945e-01,1.000000000000000000e+00
-1.714075993822882449e+00,1.072963181818181874e+04,-2.402970590810610263e-01,1.000000000000000000e+00
-1.655449609258905053e+00,1.093996818181818162e+04,-2.350881751115964646e-01,1.000000000000000000e+00
-1.596823224694927212e+00,1.115030454545454631e+04,-2.265906243669640885e-01,1.000000000000000000e+00
-1.538196840130949372e+00,1.136064090909090919e+04,-2.152410731215760875e-01,1.000000000000000000e+00
-1.479570455566971976e+00,1.157097727272727207e+04,-2.014761876498438742e-01,1.000000000000000000e+00
-1.420944071002994136e+00,1.178131363636363676e+04,-1.857326342261793606e-01,1.000000000000000000e+00
-1.362317686439016295e+00,1.199165000000000146e+04,-1.684470791249943478e-01,1.000000000000000000e+00
-1.303691301875038899e+00,1.220198636363636251e+04,-1.500561886207005813e-01,1.000000000000000000e+00
-1.245064917311061059e+00,1.241232272727272721e+04,-1.309966289877099177e-01,1.000000000000000000e+00
-1.186438532747083219e+00,1.262265909090909190e+04,-1.117050665004338805e-01,1.000000000000000000e+00
-1.127812148183105823e+00,1.283299545454545296e+04,-9.261816743328477042e-02,1.000000000000000000e+00
-1.069185763619127982e+00,1.304333181818181765e+04,-7.417259806067377781e-02,1.000000000000000000e+00
-1.010559379055150142e+00,1.325366818181818235e+04,-5.679571194267207801e-02,1.000000000000000000e+00
-9.519329944911727459e-01,1.346400454545454522e+04,-4.070067020951229075e-02,1.000000000000000000e+00
-8.933066099271949057e-01,1.367434090909090810e+04,-2.588644156158748100e-02,1.000000000000000000e+00
-8.346802253632170654e-01,1.388467727272727279e+04,-1.234268198495069857e-02,1.000000000000000000e+00
-7.760538407992396692e-01,1.409501363636363567e+04,-5.904746565466023611e-05,1.000000000000000000e+00
-7.174274562352618290e-01,1.430534999999999854e+04,1.097480601024769520e-02,1.000000000000000000e+00
-6.588010716712839887e-01,1.451568636363636324e+04,2.076922245670387301e-02,1.000000000000000000e+00
-6.001746871073065925e-01,1.472602272727272612e+04,2.933454588766060134e-02,1.000000000000000000e+00
-5.415483025433287523e-01,1.493635909090909081e+04,3.668112031706582954e-02,1.000000000000000000e+00
-4.829219179793509120e-01,1.514669545454545369e+04,4.281928975886617472e-02,1.000000000000000000e+00
-4.242955334153735159e-01,1.535703181818181656e+04,4.775939822700903115e-02,1.000000000000000000e+00
-3.656691488513956756e-01,1.556736818181818126e+04,5.151178973544179307e-02,1.000000000000000000e+00
-3.070427642874178353e-01,1.577770454545454595e+04,5.408680829811163271e-02,1.000000000000000000e+00
-2.484163797234404392e-01,1.598804090909090883e+04,5.549479792896561126e-02,1.000000000000000000e+00
-1.897899951594625989e-01,1.619837727272727170e+04,5.574610264195090092e-02,1.000000000000000000e+00
-1.311636105954847586e-01,1.640871363636363822e+04,5.485106645101489597e-02,1.000000000000000000e+00
-7.253722603150736248e-02,1.661904999999999927e+04,5.282003337010487964e-02,1.000000000000000000e+00
-1.391084146752952222e-02,1.682938636363636397e+04,4.969594389148712654e-02,1.000000000000000000e+00
4.471554309644831804e-02,1.703972272727272866e+04,4.565212442070554211e-02,1.000000000000000000e+00
1.033419276604257142e-01,1.725005909090908972e+04,4.089449784162346724e-02,1.000000000000000000e+00
1.619683122244039986e-01,1.746039545454545441e+04,3.562898703810357670e-02,1.000000000000000000e+00
2.205946967883813947e-01,1.767073181818181911e+04,3.006151489400954446e-02,1.000000000000000000e+00
2.792210813523587909e-01,1.788106818181818016e+04,2.439800429320393427e-02,1.000000000000000000e+00
3.378474659163370752e-01,1.809140454545454486e+04,1.884437811954986497e-02,1.000000000000000000e+00
3.964738504803144714e-01,1.830174090909090955e+04,1.360655925691078849e-02,1.000000000000000000e+00
4.551002350442918676e-01,1.851207727272727061e+04,8.890470589149934710e-03,1.000000000000000000e+00
5.137266196082701519e-01,1.872241363636363894e+04,4.902035000130089415e-03,1.000000000000000000e+00
5.723530041722475481e-01,1.893275000000000000e+04,1.847175373714260438e-03,1.000000000000000000e+00
6.309793887362249443e-01,1.914308636363636106e+04,-6.818540623421132096e-05,1.000000000000000000e+00
6.896057733002032286e-01,1.935342272727272939e+04,-6.381244558522070065e-04,1.000000000000000000e+00
7.482321578641806248e-01,1.956375909090909045e+04,3.432811087233922365e-04,1.000000000000000000e+00
8.068585424281580210e-01,1.977409545454545150e+04,3.081954171355372196e-03,1.000000000000000000e+00
8.654849269921363053e-01,1.998443181818181984e+04,7.783817615907184795e-03,1.000000000000000000e+00
9.241113115561137015e-01,2.019476818181818089e+04,1.464631473069366585e-02,1.000000000000000000e+00
9.827376961200910976e-01,2.040510454545454559e+04,2.367185810642191690e-02,1.000000000000000000e+00
1.041364080684069382e+00,2.061544090909091028e+04,3.466782963619174929e-02,1.000000000000000000e+00
1.099990465248046778e+00,2.082577727272727134e+04,4.743313161755335905e-02,1.000000000000000000e+00
1.158616849812024174e+00,2.103611363636363603e+04,6.176666634805871858e-02,1.000000000000000000e+00
1.217243234376002459e+00,2.124645000000000073e+04,7.746733612525935619e-02,1.000000000000000000e+00
1.275869618939979855e+00,2.145678636363636178e+04,9.433404324670546792e-02,1.000000000000000000e+00
1.334496003503957251e+00,2.166712272727272648e+04,1.121656900099491372e-01,1.000000000000000000e+00
1.393122388067935535e+00,2.187745909090909117e+04,1.307611787125412262e-01,1.000000000000000000e+00
1.451748772631912932e+00,2.208779545454545587e+04,1.499194116520323750e-01,1.000000000000000000e+00
1.510375157195890328e+00,2.229813181818181693e+04,1.694392911259745560e-01,1.000000000000000000e+00
1.569001541759868612e+00,2.250846818181818162e+04,1.891197194319191865e-01,1.000000000000000000e+00
1.627627926323846008e+00,2.271880454545454631e+04,2.087595988674165737e-01,0.000000000000000000e+00
1.686254310887823404e+00,2.292914090909090737e+04,2.281578317300186898e-01,0.000000000000000000e+00
1.744880695451801689e+00,2.313947727272727207e+04,2.471133203172761750e-01,0.000000000000000000e+00
1.803507080015779085e+00,2.334981363636363676e+04,2.654249669267406686e-01,0.000000000000000000e+00
1.862133464579756703e+00,2.356015000000000146e+04,2.828916738559628108e-01,0.000000000000000000e+00
