x_scaled,x_raw,phi,in_train_support
-1.238063139980886618e+01,-1.497010000000000218e+03,-9.223953349379129918e+00,0.000000000000000000e+00
-1.214169857759422833e+01,-1.468151212121212211e+03,-8.653212870285507563e+00,0.000000000000000000e+00
-1.190276575537959047e+01,-1.439292424242424431e+03,-8.117975224439307524e+00,0.000000000000000000e+00
-1.166383293316495262e+01,-1.410433636363636651e+03,-7.616347845694844132e+00,0.000000000000000000e+00
-1.142490011095031477e+01,-1.381574848484848644e+03,-7.146438167906436156e+00,0.000000000000000000e+00
-1.118596728873567514e+01,-1.352716060606060637e+03,-6.706353624928390822e+00,0.000000000000000000e+00
-1.094703446652103729e+01,-1.323857272727272857e+03,-6.294201650615032229e+00,0.000000000000000000e+00
-1.070810164430639944e+01,-1.294998484848484850e+03,-5.908089678820672930e+00,0.000000000000000000e+00
-1.046916882209176158e+01,-1.266139696969697070e+03,-5.546125143399626367e+00,0.000000000000000000e+00
-1.023023599987712373e+01,-1.237280909090909290e+03,-5.206415478206209535e+00,0.000000000000000000e+00
-9.991303177662485879e+00,-1.208422121212121283e+03,-4.887068117094738540e+00,0.000000000000000000e+00
-9.752370355447848027e+00,-1.179563333333333503e+03,-4.586190493919525935e+00,0.000000000000000000e+00
-9.513437533233208399e+00,-1.150704545454545496e+03,-4.301890042534887826e+00,0.000000000000000000e+00
-9.274504711018572323e+00,-1.121845757575757943e+03,-4.032274196795142984e+00,0.000000000000000000e+00
-9.035571888803932694e+00,-1.092986969696969709e+03,-3.775450390554600855e+00,0.000000000000000000e+00
-8.796639066589294842e+00,-1.064128181818181929e+03,-3.529526057667581984e+00,0.000000000000000000e+00
-8.557706244374656990e+00,-1.035269393939394149e+03,-3.292608631988399814e+00,0.000000000000000000e+00
-8.318773422160019138e+00,-1.006410606060606256e+03,-3.062851699743440292e+00,0.000000000000000000e+00
-8.079840599945381285e+00,-9.775518181818183621e+02,-2.839470351716729013e+00,0.000000000000000000e+00
-7.840907777730742545e+00,-9.486930303030304685e+02,-2.622741183249928554e+00,0.000000000000000000e+00
-7.601974955516104693e+00,-9.198342424242425750e+02,-2.412986942056775774e+00,0.000000000000000000e+00
-7.363042133301466841e+00,-8.909754545454546815e+02,-2.210530375851003093e+00,0.000000000000000000e+00
-7.124109311086828100e+00,-8.621166666666667879e+02,-2.015694232346346038e+00,0.000000000000000000e+00
-6.885176488872190248e+00,-8.332578787878788944e+02,-1.828801259256540135e+00,0.000000000000000000e+00
-6.646243666657552396e+00,-8.043990909090911146e+02,-1.650174204295319136e+00,0.000000000000000000e+00
-6.407310844442914544e+00,-7.755403030303032210e+02,-1.480135815176418346e+00,0.000000000000000000e+00
-6.168378022228276691e+00,-7.466815151515153275e+02,-1.319008839613572182e+00,0.000000000000000000e+00
-5.929445200013637951e+00,-7.178227272727274340e+02,-1.167116025320514838e+00,0.000000000000000000e+00
-5.690512377799000099e+00,-6.889639393939395404e+02,-1.024780120010982065e+00,0.000000000000000000e+00
-5.451579555584362247e+00,-6.601051515151517606e+02,-8.923238713987081683e-01,0.000000000000000000e+00
-5.212646733369723506e+00,-6.312463636363637534e+02,-7.700700271974274536e-01,0.000000000000000000e+00
-4.973713911155085654e+00,-6.023875757575758598e+02,-6.583413351208751152e-01,0.000000000000000000e+00
-4.734781088940447802e+00,-5.735287878787880800e+02,-5.574605428827861253e-01,0.000000000000000000e+00
-4.495848266725809950e+00,-5.446700000000001864e+02,-4.677503981968944569e-01,0.000000000000000000e+00
-4.256915444511172097e+00,-5.158112121212122929e+02,-3.893429441445617201e-01,0.000000000000000000e+00
-4.017982622296534245e+00,-4.869524242424245131e+02,-3.216074052776538572e-01,0.000000000000000000e+00
-3.779049800081896393e+00,-4.580936363636366195e+02,-2.637223015156628936e-01,0.000000000000000000e+00
-3.540116977867256765e+00,-4.292348484848485555e+02,-2.148661527780808544e-01,0.000000000000000000e+00
