x_scaled,x_raw,phi,in_train_support
-2.300398435669833486e+00,-4.470000000000027285e+01,5.517847540418989283e+00,0.000000000000000000e+00
-2.252742276241326724e+00,1.354545454545586836e+00,5.218341772417455005e+00,0.000000000000000000e+00
-2.205086116812819963e+00,4.740909090909099177e+01,4.927252538690064299e+00,0.000000000000000000e+00
-2.157429957384313646e+00,9.346363636363594196e+01,4.643746029460134928e+00,0.000000000000000000e+00
-2.109773797955806884e+00,1.395181818181815743e+02,4.366988434950974884e+00,0.000000000000000000e+00
-2.062117638527300123e+00,1.855727272727272066e+02,4.096145945385901044e+00,0.000000000000000000e+00
-2.014461479098793362e+00,2.316272727272726115e+02,3.830384750988224951e+00,0.000000000000000000e+00
-1.966805319670286600e+00,2.776818181818182438e+02,3.568871041981261261e+00,1.000000000000000000e+00
-1.919149160241780061e+00,3.237363636363634214e+02,3.310771008588324626e+00,1.000000000000000000e+00
-1.871493000813273522e+00,3.697909090909088263e+02,3.055250841032727926e+00,1.000000000000000000e+00
-1.823836841384766760e+00,4.158454545454544586e+02,2.801476729537782262e+00,1.000000000000000000e+00
-1.776180681956259999e+00,4.618999999999998636e+02,2.548614864326802287e+00,1.000000000000000000e+00
-1.728524522527753238e+00,5.079545454545454959e+02,2.295831435623102657e+00,1.000000000000000000e+00
-1.680868363099246698e+00,5.540090909090906734e+02,2.042292633649997136e+00,1.000000000000000000e+00
-1.633212203670739937e+00,6.000636363636363058e+02,1.787164648630797714e+00,1.000000000000000000e+00
-1.585556044242233398e+00,6.461181818181817107e+02,1.529613670788819491e+00,1.000000000000000000e+00
-1.537899884813726636e+00,6.921727272727271156e+02,1.268805890347373788e+00,1.000000000000000000e+00
-1.490243725385219875e+00,7.382272727272727479e+02,1.003953021561798664e+00,1.000000000000000000e+00
-1.442587565956713336e+00,7.842818181818179255e+02,7.353138314239606732e-01,1.000000000000000000e+00
-1.394931406528206574e+00,8.303363636363635578e+02,4.641941396622539795e-01,1.000000000000000000e+00
-1.347275247099700035e+00,8.763909090909089628e+02,1.919452900370988147e-01,1.000000000000000000e+00
-1.299619087671193274e+00,9.224454545454543677e+02,-8.008137369108747627e-02,1.000000000000000000e+00
-1.251962928242686512e+00,9.685000000000000000e+02,-3.505345077618853278e-01,1.000000000000000000e+00
-1.204306768814179973e+00,1.014554545454545178e+03,-6.180627684148751744e-01,1.000000000000000000e+00
-1.156650609385673212e+00,1.060609090909090810e+03,-8.813148118896403371e-01,1.000000000000000000e+00
-1.108994449957166450e+00,1.106663636363636442e+03,-1.138939294425760584e+00,1.000000000000000000e+00
-1.061338290528659911e+00,1.152718181818181620e+03,-1.389584872262817017e+00,1.000000000000000000e+00
-1.013682131100153150e+00,1.198772727272727025e+03,-1.631900201640391623e+00,1.000000000000000000e+00
-9.660259716716463885e-01,1.244827272727272884e+03,-1.864533938798065060e+00,1.000000000000000000e+00
-9.183698122431398492e-01,1.290881818181818062e+03,-2.086134739975419095e+00,1.000000000000000000e+00
-8.707136528146330878e-01,1.336936363636363694e+03,-2.295351261412034383e+00,1.000000000000000000e+00
-8.230574933861265485e-01,1.382990909090908872e+03,-2.490832159347491803e+00,1.000000000000000000e+00
