x_scaled,x_raw,phi,in_train_support
-1.366965609243962154e+00,-4.399999999999995026e-01,7.934367992811441894e-03,0.000000000000000000e+00
-1.315767885156429839e+00,1.333333333333186488e-02,1.746574334321682187e-01,1.000000000000000000e+00
-1.264570161068897303e+00,4.666666666666667851e-01,3.180471843764993700e-01,1.000000000000000000e+00
-1.213372436981364988e+00,9.199999999999999289e-01,4.395056822743539371e-01,1.000000000000000000e+00
-1.162174712893832451e+00,1.373333333333334849e+00,5.404349885742849580e-01,1.000000000000000000e+00
-1.110976988806300136e+00,1.826666666666666217e+00,6.222371647248419180e-01,1.000000000000000000e+00
-1.059779264718767600e+00,2.280000000000001137e+00,6.863142721745778552e-01,1.000000000000000000e+00
-1.008581540631235285e+00,2.733333333333334281e+00,7.340683723720418108e-01,1.000000000000000000e+00
-9.573838165437029701e-01,3.186666666666665648e+00,7.669015267657863788e-01,1.000000000000000000e+00
-9.061860924561704334e-01,3.640000000000000568e+00,7.862157968043637091e-01,1.000000000000000000e+00
-8.549883683686381186e-01,4.093333333333332824e+00,7.934132439363250633e-01,1.000000000000000000e+00
-8.037906442811056928e-01,4.546666666666666856e+00,7.898959296102203709e-01,1.000000000000000000e+00
-7.525929201935732671e-01,5.000000000000000000e+00,7.770659152746004494e-01,1.000000000000000000e+00
-7.013951961060408413e-01,5.453333333333334032e+00,7.563252623780192252e-01,1.000000000000000000e+00
-6.501974720185085266e-01,5.906666666666666288e+00,7.290760323690257394e-01,1.000000000000000000e+00
-5.989997479309761008e-01,6.359999999999999432e+00,6.967202866961716978e-01,1.000000000000000000e+00
-5.478020238434436751e-01,6.813333333333333464e+00,6.606600868080088063e-01,1.000000000000000000e+00
-4.966042997559112493e-01,7.266666666666666607e+00,6.222766162308559501e-01,1.000000000000000000e+00
-4.454065756683788235e-01,7.720000000000000639e+00,5.824708662796815872e-01,1.000000000000000000e+00
-3.942088515808465088e-01,8.173333333333332007e+00,5.416636360581077447e-01,1.000000000000000000e+00
