x_scaled,x_raw,phi,in_train_support
-3.576372505567857019e+00,1.962000000000000099e+01,2.143670485193652908e+01,0.000000000000000000e+00
-3.499153034732990886e+00,2.001151515151515170e+01,1.941196701977574435e+01,0.000000000000000000e+00
-3.421933563898124753e+00,2.040303030303030241e+01,1.755899881503587068e+01,0.000000000000000000e+00
-3.344714093063258620e+00,2.079454545454545311e+01,1.586850039392824385e+01,0.000000000000000000e+00
-3.267494622228392487e+00,2.118606060606060737e+01,1.433117191266422807e+01,0.000000000000000000e+00
-3.190275151393525910e+00,2.157757575757575808e+01,1.293771352745515912e+01,0.000000000000000000e+00
-3.113055680558660221e+00,2.196909090909090878e+01,1.167882539451241541e+01,0.000000000000000000e+00
-3.035836209723793644e+00,2.236060606060605949e+01,1.054520767004731141e+01,0.000000000000000000e+00
-2.958616738888927511e+00,2.275212121212121374e+01,9.527560510271225525e+00,0.000000000000000000e+00
-2.881397268054061378e+00,2.314363636363636445e+01,8.616584071395497091e+00,0.000000000000000000e+00
-2.804177797219195245e+00,2.353515151515151516e+01,7.802978509631478765e+00,0.000000000000000000e+00
-2.726958326384329112e+00,2.392666666666666941e+01,7.077443981190517874e+00,0.000000000000000000e+00
-2.649738855549462979e+00,2.431818181818182012e+01,6.430680642283969739e+00,0.000000000000000000e+00
-2.572519384714596846e+00,2.470969696969697083e+01,5.853388649123181686e+00,0.000000000000000000e+00
-2.495299913879730269e+00,2.510121212121212153e+01,5.336268157919501043e+00,0.000000000000000000e+00
-2.418080443044864580e+00,2.549272727272727224e+01,4.870019324884289347e+00,0.000000000000000000e+00
-2.340860972209998003e+00,2.588424242424242649e+01,4.445342306228884155e+00,0.000000000000000000e+00
-2.263641501375132314e+00,2.627575757575757365e+01,4.053099619293608846e+00,0.000000000000000000e+00
-2.186422030540265737e+00,2.666727272727272791e+01,3.687888087384889602e+00,0.000000000000000000e+00
-2.109202559705399604e+00,2.705878787878788216e+01,3.348038839775290931e+00,1.000000000000000000e+00
-2.031983088870533471e+00,2.745030303030303287e+01,3.032045366866329861e+00,1.000000000000000000e+00
-1.954763618035667339e+00,2.784181818181818358e+01,2.738401159059527412e+00,1.000000000000000000e+00
-1.877544147200801206e+00,2.823333333333333428e+01,2.465599706756402831e+00,1.000000000000000000e+00
-1.800324676365935073e+00,2.862484848484848499e+01,2.212134500358476696e+00,1.000000000000000000e+00
-1.723105205531068940e+00,2.901636363636363569e+01,1.976499030267269141e+00,1.000000000000000000e+00
-1.645885734696202585e+00,2.940787878787878995e+01,1.757186786884299190e+00,1.000000000000000000e+00
-1.568666263861336674e+00,2.979939393939394066e+01,1.552691260611088975e+00,1.000000000000000000e+00
-1.491446793026470097e+00,3.019090909090909491e+01,1.361505941849155299e+00,1.000000000000000000e+00
-1.414227322191603964e+00,3.058242424242424562e+01,1.182124321000020295e+00,1.000000000000000000e+00
-1.337007851356737831e+00,3.097393939393939633e+01,1.013039888465204985e+00,1.000000000000000000e+00
-1.259788380521871698e+00,3.136545454545454703e+01,8.527461346462272829e-01,1.000000000000000000e+00
-1.182568909687005565e+00,3.175696969696969774e+01,6.997365499446068782e-01,1.000000000000000000e+00
-1.105349438852139432e+00,3.214848484848484844e+01,5.525046247618661255e-01,1.000000000000000000e+00
-1.028129968017273299e+00,3.253999999999999915e+01,4.095438494995238266e-01,1.000000000000000000e+00
-9.509104971824071662e-01,3.293151515151514985e+01,2.697661588367612495e-01,1.000000000000000000e+00
-8.736910263475410332e-01,3.332303030303030056e+01,1.337572645634059754e-01,1.000000000000000000e+00
