x_scaled,x_raw,phi,in_train_support
-5.591476250549964888e-01,-5.599999999999998312e-01,2.556363391519239414e+00,0.000000000000000000e+00
-3.251106840059532210e-01,1.696969696969718999e-02,1.154293168251472324e+00,1.000000000000000000e+00
-9.107374295691000876e-02,5.939393939393939892e-01,-1.291551588167081377e-01,1.000000000000000000e+00
1.429631980921332035e-01,1.170909090909090899e+00,-1.300308012615293052e+00,1.000000000000000000e+00
3.770001391411764713e-01,1.747878787878787810e+00,-2.365491816074269948e+00,1.000000000000000000e+00
6.110370801902196281e-01,2.324848484848484276e+00,-3.331032992123631686e+00,1.000000000000000000e+00
8.450740212392628958e-01,2.901818181818181408e+00,-4.203257963693363131e+00,1.000000000000000000e+00
1.079110962288306164e+00,3.478787878787878540e+00,-4.988493153713461581e+00,1.000000000000000000e+00
1.313147903337349431e+00,4.055757575757575673e+00,-5.693064985113910126e+00,1.000000000000000000e+00
1.547184844386392477e+00,4.632727272727271917e+00,-6.323299880824700736e+00,1.000000000000000000e+00
1.781221785435435745e+00,5.209696969696969049e+00,-6.885524263775824494e+00,1.000000000000000000e+00
2.015258726484479013e+00,5.786666666666666181e+00,-7.386064556897268929e+00,1.000000000000000000e+00
2.249295667533522280e+00,6.363636363636363313e+00,-7.831247183119025124e+00,1.000000000000000000e+00
2.483332608582565548e+00,6.940606060606060446e+00,-8.227398565371082384e+00,1.000000000000000000e+00
2.717369549631608816e+00,7.517575757575757578e+00,-8.580845126583431792e+00,1.000000000000000000e+00
2.951406490680652084e+00,8.094545454545453822e+00,-8.897913289686060878e+00,1.000000000000000000e+00
3.185443431729695352e+00,8.671515151515150066e+00,-9.184929477608960724e+00,1.000000000000000000e+00
3.419480372778738619e+00,9.248484848484848087e+00,-9.448103512940543069e+00,1.000000000000000000e+00
3.653517313827781443e+00,9.825454545454542554e+00,-9.690963410412956947e+00,1.000000000000000000e+00
3.887554254876825155e+00,1.040242424242424057e+01,-9.914355376902086903e+00,1.000000000000000000e+00
4.121591195925867979e+00,1.097939393939393682e+01,-1.011900901894224170e+01,1.000000000000000000e+00
4.355628136974911691e+00,1.155636363636363484e+01,-1.030565394306772475e+01,1.000000000000000000e+00
4.589665078023954514e+00,1.213333333333333108e+01,-1.047501975581284306e+01,0.000000000000000000e+00
4.823702019072998226e+00,1.271030303030302910e+01,-1.062783606371190537e+01,0.000000000000000000e+00
5.057738960122041050e+00,1.328727272727272535e+01,-1.076483247329921866e+01,0.000000000000000000e+00
5.291775901171084762e+00,1.386424242424242337e+01,-1.088673859110908815e+01,0.000000000000000000e+00
5.525812842220127585e+00,1.444121212121211961e+01,-1.099428402367582436e+01,0.000000000000000000e+00
5.759849783269171297e+00,1.501818181818181763e+01,-1.108819837753373250e+01,0.000000000000000000e+00
5.993886724318214121e+00,1.559515151515151388e+01,-1.116921125921711599e+01,0.000000000000000000e+00
6.227923665367257833e+00,1.617212121212121190e+01,-1.123805227526028716e+01,0.000000000000000000e+00
6.461960606416300656e+00,1.674909090909090637e+01,-1.129545103219755120e+01,0.000000000000000000e+00
6.695997547465344368e+00,1.732606060606060794e+01,-1.134213713656321332e+01,0.000000000000000000e+00
6.930034488514387192e+00,1.790303030303030241e+01,-1.137884019489158050e+01,0.000000000000000000e+00
7.164071429563430016e+00,1.848000000000000043e+01,-1.140628981371696327e+01,0.000000000000000000e+00
7.398108370612473728e+00,1.905696969696969845e+01,-1.142513843997589262e+01,0.000000000000000000e+00
7.632145311661516551e+00,1.963393939393939291e+01,-1.143572988221378672e+01,0.000000000000000000e+00
7.866182252710559375e+00,2.021090909090908738e+01,-1.143833078937829839e+01,0.000000000000000000e+00
8.100219193759603087e+00,2.078787878787878540e+01,-1.143320781041707335e+01,0.000000000000000000e+00
