x_scaled,x_raw,phi,in_train_support
-7.051320291560064568e+00,-6.932100000000000364e+02,-5.555856164407998676e+00,0.000000000000000000e+00
-6.961564766025533757e+00,-6.847512121212121201e+02,-5.396384945080809459e+00,0.000000000000000000e+00
-6.871809240491003834e+00,-6.762924242424243175e+02,-5.239336346701174207e+00,0.000000000000000000e+00
-6.782053714956473023e+00,-6.678336363636364013e+02,-5.084961959335633885e+00,0.000000000000000000e+00
-6.692298189421943100e+00,-6.593748484848485987e+02,-4.933513373050734785e+00,0.000000000000000000e+00
-6.602542663887412289e+00,-6.509160606060606824e+02,-4.785242177913021422e+00,0.000000000000000000e+00
-6.512787138352882366e+00,-6.424572727272727661e+02,-4.640399963989036536e+00,0.000000000000000000e+00
-6.423031612818351554e+00,-6.339984848484848499e+02,-4.499238321345321978e+00,0.000000000000000000e+00
-6.333276087283820743e+00,-6.255396969696969336e+02,-4.362008840048424929e+00,0.000000000000000000e+00
-6.243520561749290820e+00,-6.170809090909091310e+02,-4.228963110164890793e+00,0.000000000000000000e+00
-6.153765036214760009e+00,-6.086221212121212147e+02,-4.100352721761258756e+00,0.000000000000000000e+00
-6.064009510680230086e+00,-6.001633333333334122e+02,-3.976429264904076444e+00,0.000000000000000000e+00
-5.974253985145699275e+00,-5.917045454545454959e+02,-3.857444329659884819e+00,0.000000000000000000e+00
-5.884498459611169352e+00,-5.832457575757576933e+02,-3.743649506095231061e+00,0.000000000000000000e+00
-5.794742934076638541e+00,-5.747869696969697770e+02,-3.635296384276656578e+00,0.000000000000000000e+00
-5.704987408542107730e+00,-5.663281818181818608e+02,-3.532636554270706775e+00,0.000000000000000000e+00
-5.615231883007577807e+00,-5.578693939393940582e+02,-3.435921606143926166e+00,0.000000000000000000e+00
-5.525476357473046995e+00,-5.494106060606061419e+02,-3.345385988088938056e+00,0.000000000000000000e+00
-5.435720831938516184e+00,-5.409518181818182256e+02,-3.260869885198236950e+00,0.000000000000000000e+00
