x_scaled,x_raw,phi,in_train_support
-2.304237321089199764e+00,-4.470000000000027285e+01,-1.912963285888710985e+01,0.000000000000000000e+00
-2.256169513307253460e+00,1.354545454545132088e+00,-1.747909152491085294e+01,0.000000000000000000e+00
-2.208101705525307157e+00,4.740909090909099177e+01,-1.592764527736139613e+01,0.000000000000000000e+00
-2.160033897743360853e+00,9.346363636363639671e+01,-1.447117886281666088e+01,0.000000000000000000e+00
-2.111966089961414550e+00,1.395181818181818016e+02,-1.310557702785458289e+01,0.000000000000000000e+00
-2.063898282179468691e+00,1.855727272727269792e+02,-1.182672451905310140e+01,0.000000000000000000e+00
-2.015830474397522387e+00,2.316272727272723841e+02,-1.063050608299012367e+01,0.000000000000000000e+00
-1.967762666615576084e+00,2.776818181818180165e+02,-9.512806466243590720e+00,1.000000000000000000e+00
-1.919694858833629780e+00,3.237363636363634214e+02,-8.469510415391434677e+00,1.000000000000000000e+00
-1.871627051051683477e+00,3.697909090909090537e+02,-7.496502677011585014e+00,1.000000000000000000e+00
-1.823559243269737173e+00,4.158454545454544586e+02,-6.589667997681971201e+00,1.000000000000000000e+00
-1.775491435487790870e+00,4.619000000000000909e+02,-5.744891123980523595e+00,1.000000000000000000e+00
-1.727423627705844567e+00,5.079545454545454959e+02,-4.958056802485172554e+00,1.000000000000000000e+00
-1.679355819923898485e+00,5.540090909090909008e+02,-4.225049779773851988e+00,1.000000000000000000e+00
-1.631288012141952182e+00,6.000636363636363058e+02,-3.541754802424483373e+00,1.000000000000000000e+00
-1.583220204360006100e+00,6.461181818181817107e+02,-2.904056617015007724e+00,1.000000000000000000e+00
-1.535152396578059797e+00,6.921727272727271156e+02,-2.307839970123343853e+00,1.000000000000000000e+00
-1.487084588796113493e+00,7.382272727272725206e+02,-1.749071200874291243e+00,1.000000000000000000e+00
-1.439016781014167190e+00,7.842818181818181529e+02,-1.225593276970482925e+00,1.000000000000000000e+00
-1.390948973232220887e+00,8.303363636363635578e+02,-7.371257946923988058e-01,1.000000000000000000e+00
-1.342881165450274583e+00,8.763909090909091901e+02,-2.834699428673754795e-01,1.000000000000000000e+00
-1.294813357668328502e+00,9.224454545454543677e+02,1.355730896772415761e-01,1.000000000000000000e+00
-1.246745549886382198e+00,9.685000000000000000e+02,5.202021141141184302e-01,1.000000000000000000e+00
-1.198677742104435895e+00,1.014554545454545405e+03,8.706159416159131581e-01,1.000000000000000000e+00
-1.150609934322489591e+00,1.060609090909091037e+03,1.187013383355288276e+00,1.000000000000000000e+00
-1.102542126540543288e+00,1.106663636363636442e+03,1.469593250504895643e+00,1.000000000000000000e+00
-1.054474318758597207e+00,1.152718181818181620e+03,1.718554354237405768e+00,1.000000000000000000e+00
-1.006406510976650903e+00,1.198772727272727252e+03,1.934095505725468733e+00,1.000000000000000000e+00
-9.583387031947045998e-01,1.244827272727272884e+03,2.116415516141750608e+00,1.000000000000000000e+00
-9.102708954127582963e-01,1.290881818181818289e+03,2.265713196658912132e+00,1.000000000000000000e+00
-8.622030876308122149e-01,1.336936363636363694e+03,2.382187358449608716e+00,1.000000000000000000e+00
-8.141352798488659115e-01,1.382990909090909099e+03,2.466036812686504653e+00,1.000000000000000000e+00
-7.660674720669196081e-01,1.429045454545454504e+03,2.517460370542258907e+00,1.000000000000000000e+00
-7.179996642849733046e-01,1.475100000000000136e+03,2.536656843189526889e+00,1.000000000000000000e+00
-6.699318565030270012e-01,1.521154545454545769e+03,2.524380677298565523e+00,1.000000000000000000e+00
-6.218640487210809198e-01,1.567209090909090946e+03,2.483608861529970291e+00,1.000000000000000000e+00
-5.737962409391346164e-01,1.613263636363636579e+03,2.417874020041941741e+00,1.000000000000000000e+00
-5.257284331571883129e-01,1.659318181818181984e+03,2.330708776992671538e+00,1.000000000000000000e+00
-4.776606253752420095e-01,1.705372727272727388e+03,2.225645756540349574e+00,1.000000000000000000e+00
-4.295928175932959281e-01,1.751427272727272793e+03,2.106217582843174618e+00,1.000000000000000000e+00
-3.815250098113496247e-01,1.797481818181818198e+03,1.975956880059336562e+00,1.000000000000000000e+00
-3.334572020294033212e-01,1.843536363636363831e+03,1.838396272347030624e+00,1.000000000000000000e+00
-2.853893942474572398e-01,1.889590909090909008e+03,1.697068383864448471e+00,1.000000000000000000e+00
-2.373215864655109364e-01,1.935645454545454641e+03,1.555505838769783544e+00,1.000000000000000000e+00
-1.892537786835646330e-01,1.981700000000000045e+03,1.417241261221229287e+00,1.000000000000000000e+00
-1.411859709016183295e-01,2.027754545454545678e+03,1.285807275376982695e+00,1.000000000000000000e+00
-9.311816311967202608e-02,2.073809090909091083e+03,1.164736505395230104e+00,1.000000000000000000e+00
-4.505035533772572265e-02,2.119863636363636488e+03,1.057561575434172063e+00,1.000000000000000000e+00
3.017452444220580787e-03,2.165918181818182347e+03,9.678151096519949093e-01,1.000000000000000000e+00
