x_scaled,x_raw,phi,in_train_support
-5.603299526452593105e-01,-5.599999999999999423e-01,-1.479655541168486188e+00,0.000000000000000000e+00
-3.270415585454042318e-01,1.696969696969696795e-02,-6.645922629462583942e-01,1.000000000000000000e+00
-9.375316444554915307e-02,5.939393939393938782e-01,7.547795068449669742e-02,1.000000000000000000e+00
1.395352296543058701e-01,1.170909090909090455e+00,7.449830537866359847e-01,1.000000000000000000e+00
3.728236237541610043e-01,1.747878787878787588e+00,1.348351000423015478e+00,1.000000000000000000e+00
6.061120178540161385e-01,2.324848484848484720e+00,1.890009744656482304e+00,1.000000000000000000e+00
8.394004119538710507e-01,2.901818181818180964e+00,2.374387240549894251e+00,1.000000000000000000e+00
1.072688806053726296e+00,3.478787878787878540e+00,2.805911442166105108e+00,1.000000000000000000e+00
1.305977200153581208e+00,4.055757575757574784e+00,3.189010303567965998e+00,1.000000000000000000e+00
1.539265594253436120e+00,4.632727272727271028e+00,3.528111778818332045e+00,1.000000000000000000e+00
1.772553988353291476e+00,5.209696969696968161e+00,3.827643821980055705e+00,1.000000000000000000e+00
2.005842382453146389e+00,5.786666666666665293e+00,4.092034387115990768e+00,1.000000000000000000e+00
2.239130776553001301e+00,6.363636363636361537e+00,4.325711428288991023e+00,1.000000000000000000e+00
2.472419170652856657e+00,6.940606060606058669e+00,4.533102899561910704e+00,1.000000000000000000e+00
2.705707564752711569e+00,7.517575757575754913e+00,4.718636754997600491e+00,1.000000000000000000e+00
2.938995958852566925e+00,8.094545454545453822e+00,4.886740948658917283e+00,1.000000000000000000e+00
3.172284352952421838e+00,8.671515151515150066e+00,5.041843434608711760e+00,1.000000000000000000e+00
3.405572747052276750e+00,9.248484848484846310e+00,5.188285808220774342e+00,1.000000000000000000e+00
3.638861141152131662e+00,9.825454545454542554e+00,5.328423415020402842e+00,1.000000000000000000e+00
3.872149535251987462e+00,1.040242424242424057e+01,5.462625350684407799e+00,1.000000000000000000e+00
4.105437929351842818e+00,1.097939393939393860e+01,5.591174352200531494e+00,1.000000000000000000e+00
4.338726323451697731e+00,1.155636363636363484e+01,5.714353156556518876e+00,1.000000000000000000e+00
4.572014717551552643e+00,1.213333333333333108e+01,5.832444500740113114e+00,0.000000000000000000e+00
4.805303111651407555e+00,1.271030303030302733e+01,5.945731121739059155e+00,0.000000000000000000e+00
5.038591505751262467e+00,1.328727272727272357e+01,6.054495756541101947e+00,0.000000000000000000e+00
5.271879899851118267e+00,1.386424242424242337e+01,6.159021142133983773e+00,0.000000000000000000e+00
5.505168293950973180e+00,1.444121212121211961e+01,6.259590015505450467e+00,0.000000000000000000e+00
5.738456688050828092e+00,1.501818181818181586e+01,6.356485113643244311e+00,0.000000000000000000e+00
5.971745082150683004e+00,1.559515151515151210e+01,6.449989173535111142e+00,0.000000000000000000e+00
6.205033476250537916e+00,1.617212121212120834e+01,6.540384932168793242e+00,0.000000000000000000e+00
6.438321870350393716e+00,1.674909090909090992e+01,6.627955126532037333e+00,0.000000000000000000e+00
6.671610264450248629e+00,1.732606060606060439e+01,6.712982493612585699e+00,0.000000000000000000e+00
6.904898658550103541e+00,1.790303030303030241e+01,6.795749770398182399e+00,0.000000000000000000e+00
7.138187052649958453e+00,1.847999999999999687e+01,6.876539693876571491e+00,0.000000000000000000e+00
7.371475446749813365e+00,1.905696969696969489e+01,6.955590975259021036e+00,0.000000000000000000e+00
7.604763840849668277e+00,1.963393939393939291e+01,7.032966222650889776e+00,0.000000000000000000e+00
7.838052234949523189e+00,2.021090909090908738e+01,7.108684018381062231e+00,0.000000000000000000e+00
8.071340629049377213e+00,2.078787878787878185e+01,7.182762944778418479e+00,0.000000000000000000e+00
8.304629023149233902e+00,2.136484848484848342e+01,7.255221584171843041e+00,0.000000000000000000e+00
8.537917417249088814e+00,2.194181818181817789e+01,7.326078518890217772e+00,0.000000000000000000e+00
8.771205811348943726e+00,2.251878787878787591e+01,7.395352331262426304e+00,0.000000000000000000e+00
9.004494205448798638e+00,2.309575757575757393e+01,7.463061603617350492e+00,0.000000000000000000e+00
9.237782599548653550e+00,2.367272727272726840e+01,7.529224918283873080e+00,0.000000000000000000e+00
9.471070993648508463e+00,2.424969696969696642e+01,7.593860857590876812e+00,0.000000000000000000e+00
9.704359387748363375e+00,2.482666666666666089e+01,7.656988003867244430e+00,0.000000000000000000e+00
9.937647781848218287e+00,2.540363636363635891e+01,7.718624939441859567e+00,0.000000000000000000e+00
1.017093617594807320e+01,2.598060606060605338e+01,7.778790246643603190e+00,0.000000000000000000e+00
1.040422457004792811e+01,2.655757575757575140e+01,7.837502507801359819e+00,0.000000000000000000e+00
1.063751296414778302e+01,2.713454545454544586e+01,7.894780305244011309e+00,0.000000000000000000e+00
1.087080135824763971e+01,2.771151515151514744e+01,7.950642221300440404e+00,0.000000000000000000e+00
1.110408975234749462e+01,2.828848484848484546e+01,8.005106854700054342e+00,0.000000000000000000e+00
1.133737814644734954e+01,2.886545454545453993e+01,8.058193181384346815e+00,0.000000000000000000e+00
1.157066654054720445e+01,2.944242424242423795e+01,8.109920554506887314e+00,0.000000000000000000e+00
1.180395493464705936e+01,3.001939393939393241e+01,8.160308343621778704e+00,0.000000000000000000e+00
1.203724332874691427e+01,3.059636363636363043e+01,8.209375918283120299e+00,0.000000000000000000e+00
1.227053172284676918e+01,3.117333333333332845e+01,8.257142648045009636e+00,0.000000000000000000e+00
1.250382011694662410e+01,3.175030303030302292e+01,8.303627902461547805e+00,0.000000000000000000e+00
1.273710851104647901e+01,3.232727272727272094e+01,8.348851051086832342e+00,0.000000000000000000e+00
1.297039690514633392e+01,3.290424242424241186e+01,8.392831463474964337e+00,0.000000000000000000e+00
1.320368529924619061e+01,3.348121212121211698e+01,8.435588509180041328e+00,0.000000000000000000e+00
1.343697369334604552e+01,3.405818181818180790e+01,8.477141557756164403e+00,0.000000000000000000e+00
1.367026208744590043e+01,3.463515151515150592e+01,8.517509978757431099e+00,0.000000000000000000e+00
1.390355048154575535e+01,3.521212121212120394e+01,8.556713141737942507e+00,0.000000000000000000e+00
1.413683887564561026e+01,3.578909090909090196e+01,8.594770416251797940e+00,0.000000000000000000e+00
1.437012726974546517e+01,3.636606060606059287e+01,8.631701171853094934e+00,0.000000000000000000e+00
1.460341566384532008e+01,3.694303030303029090e+01,8.667524778095934579e+00,0.000000000000000000e+00
1.483670405794517499e+01,3.751999999999998892e+01,8.702260604534414412e+00,0.000000000000000000e+00
1.506999245204502991e+01,3.809696969696968694e+01,8.735937345186609804e+00,0.000000000000000000e+00
1.530328084614488482e+01,3.867393939393938496e+01,8.768620991926491470e+00,0.000000000000000000e+00
1.553656924024473973e+01,3.925090909090907587e+01,8.800386861092006185e+00,0.000000000000000000e+00
1.576985763434459464e+01,3.982787878787877389e+01,8.831310269021098946e+00,0.000000000000000000e+00
1.600314602844445133e+01,4.040484848484847191e+01,8.861466532051718303e+00,0.000000000000000000e+00
1.623643442254430624e+01,4.098181818181816993e+01,8.890930966521807477e+00,0.000000000000000000e+00
1.646972281664416116e+01,4.155878787878786795e+01,8.919778888769311465e+00,0.000000000000000000e+00
1.670301121074401607e+01,4.213575757575756597e+01,8.948085615132180592e+00,0.000000000000000000e+00
1.693629960484387453e+01,4.271272727272727110e+01,8.975926461948358082e+00,0.000000000000000000e+00
1.716958799894372945e+01,4.328969696969696912e+01,9.003376745555792482e+00,0.000000000000000000e+00
1.740287639304358436e+01,4.386666666666666003e+01,9.030511782292427014e+00,0.000000000000000000e+00
1.763616478714343927e+01,4.444363636363635806e+01,9.057406888496208452e+00,0.000000000000000000e+00
1.786945318124329418e+01,4.502060606060605608e+01,9.084137380505083570e+00,0.000000000000000000e+00
1.810274157534314909e+01,4.559757575757575410e+01,9.110778574656997364e+00,0.000000000000000000e+00
1.833602996944300401e+01,4.617454545454545212e+01,9.137405787289896608e+00,0.000000000000000000e+00
1.856931836354285892e+01,4.675151515151514303e+01,9.164094334741728076e+00,0.000000000000000000e+00
1.880260675764271383e+01,4.732848484848484105e+01,9.190922628426768881e+00,0.000000000000000000e+00
1.903589515174256874e+01,4.790545454545453907e+01,9.218040266514975656e+00,0.000000000000000000e+00
1.926918354584242365e+01,4.848242424242423709e+01,9.245668033931968566e+00,0.000000000000000000e+00
1.950247193994227857e+01,4.905939393939392801e+01,9.274029810679706998e+00,0.000000000000000000e+00
1.973576033404213348e+01,4.963636363636362603e+01,9.303349476760150338e+00,0.000000000000000000e+00
1.996904872814198839e+01,5.021333333333332405e+01,9.333850912175257974e+00,0.000000000000000000e+00
2.020233712224184330e+01,5.079030303030302207e+01,9.365757996926983964e+00,0.000000000000000000e+00
2.043562551634169822e+01,5.136727272727272009e+01,9.399294611017287693e+00,0.000000000000000000e+00
2.066891391044155313e+01,5.194424242424241100e+01,9.434684634448130325e+00,0.000000000000000000e+00
2.090220230454140804e+01,5.252121212121210903e+01,9.472151947221467694e+00,0.000000000000000000e+00
2.113549069864126295e+01,5.309818181818180705e+01,9.511920429339259186e+00,0.000000000000000000e+00
2.136877909274111786e+01,5.367515151515150507e+01,9.554213960803460637e+00,0.000000000000000000e+00
2.160206748684097278e+01,5.425212121212119598e+01,9.599256421616033208e+00,0.000000000000000000e+00
2.183535588094082769e+01,5.482909090909089400e+01,9.647271691778932734e+00,0.000000000000000000e+00
2.206864427504068615e+01,5.540606060606059913e+01,9.698483651294118602e+00,0.000000000000000000e+00
2.230193266914054107e+01,5.598303030303029715e+01,9.753116180163548421e+00,0.000000000000000000e+00
2.253522106324039598e+01,5.655999999999999517e+01,9.811393158389179803e+00,0.000000000000000000e+00
