x_scaled,x_raw,phi,in_train_support
-6.234433094827224187e-01,-1.000000000000000000e+00,-1.341719868135339944e+00,0.000000000000000000e+00
-5.898455596280121060e-01,3.030303030303116429e-02,-6.540679908880060456e-01,1.000000000000000000e+00
-5.562478097733019045e-01,1.060606060606058776e+00,-8.056877747465140960e-02,1.000000000000000000e+00
-5.226500599185915918e-01,2.090909090909093493e+00,3.874514104707422746e-01,1.000000000000000000e+00
-4.890523100638813347e-01,3.121212121212121104e+00,7.586662113141884323e-01,1.000000000000000000e+00
-4.554545602091710776e-01,4.151515151515152269e+00,1.041749263421703375e+00,1.000000000000000000e+00
-4.218568103544607650e-01,5.181818181818183433e+00,1.245374205159301972e+00,1.000000000000000000e+00
-3.882590604997505079e-01,6.212121212121212821e+00,1.378214674892999980e+00,1.000000000000000000e+00
-3.546613106450402508e-01,7.242424242424243985e+00,1.448944310988812045e+00,1.000000000000000000e+00
-3.210635607903299937e-01,8.272727272727273373e+00,1.466236751812753258e+00,1.000000000000000000e+00
-2.874658109356197366e-01,9.303030303030302761e+00,1.438765635730840042e+00,1.000000000000000000e+00
-2.538680610809094240e-01,1.033333333333333570e+01,1.375204601109086822e+00,1.000000000000000000e+00
-2.202703112261991669e-01,1.136363636363636331e+01,1.284227286313509131e+00,1.000000000000000000e+00
-1.866725613714889098e-01,1.239393939393939448e+01,1.174507329710122505e+00,1.000000000000000000e+00
-1.530748115167785972e-01,1.342424242424242564e+01,1.054718369664941813e+00,1.000000000000000000e+00
-1.194770616620683956e-01,1.445454545454545325e+01,9.335340445439826995e-01,1.000000000000000000e+00
-8.587931180735808301e-02,1.548484848484848619e+01,8.196279927132601451e-01,1.000000000000000000e+00
-5.228156195264777040e-02,1.651515151515151913e+01,7.214613590259545406e-01,1.000000000000000000e+00
-1.868381209793756881e-02,1.754545454545454675e+01,6.426079375400275406e-01,1.000000000000000000e+00
1.491393775677274380e-02,1.857575757575757791e+01,5.817541715182237283e-01,1.000000000000000000e+00
4.851168761148294539e-02,1.960606060606060552e+01,5.373740107104526542e-01,1.000000000000000000e+00
8.210943746619325800e-02,2.063636363636363669e+01,5.079414048666233139e-01,1.000000000000000000e+00
1.157071873209035706e-01,2.166666666666666785e+01,4.919303037366449249e-01,1.000000000000000000e+00
1.493049371756137722e-01,2.269696969696969546e+01,4.878146570704266494e-01,1.000000000000000000e+00
1.829026870303240848e-01,2.372727272727272663e+01,4.940684146178778713e-01,1.000000000000000000e+00
2.165004368850343974e-01,2.475757575757576134e+01,5.091655261289074197e-01,1.000000000000000000e+00
2.500981867397445990e-01,2.578787878787878896e+01,5.315799413534245677e-01,1.000000000000000000e+00
2.836959365944549116e-01,2.681818181818182012e+01,5.597856100413385327e-01,1.000000000000000000e+00
3.172936864491652242e-01,2.784848484848485128e+01,5.922564819425585325e-01,1.000000000000000000e+00
3.508914363038754258e-01,2.887878787878788245e+01,6.274665068069935625e-01,1.000000000000000000e+00
3.844891861585856274e-01,2.990909090909090651e+01,6.638896343845528403e-01,1.000000000000000000e+00
4.180869360132960511e-01,3.093939393939394478e+01,6.999998144251459165e-01,1.000000000000000000e+00
4.516846858680062526e-01,3.196969696969696884e+01,7.342709966786812315e-01,1.000000000000000000e+00
4.852824357227164542e-01,3.300000000000000000e+01,7.651771308950685579e-01,1.000000000000000000e+00
5.188801855774268779e-01,3.403030303030303116e+01,7.915281401158271724e-01,1.000000000000000000e+00
5.524779354321370795e-01,3.506060606060606233e+01,8.134778405489172526e-01,1.000000000000000000e+00
5.860756852868472810e-01,3.609090909090909349e+01,8.315160216939098126e-01,1.000000000000000000e+00
6.196734351415577047e-01,3.712121212121212466e+01,8.461324730503756442e-01,1.000000000000000000e+00
6.532711849962679063e-01,3.815151515151515582e+01,8.578169841178852062e-01,1.000000000000000000e+00
6.868689348509781079e-01,3.918181818181818699e+01,8.670593443960091795e-01,1.000000000000000000e+00
7.204666847056883094e-01,4.021212121212121104e+01,8.743493433843185780e-01,1.000000000000000000e+00
7.540644345603987331e-01,4.124242424242424931e+01,8.801767705823838606e-01,1.000000000000000000e+00
7.876621844151089347e-01,4.227272727272727337e+01,8.850314154897758190e-01,1.000000000000000000e+00
8.212599342698191363e-01,4.330303030303029743e+01,8.894030676060651341e-01,1.000000000000000000e+00
8.548576841245295599e-01,4.433333333333333570e+01,8.937815164308225979e-01,1.000000000000000000e+00
8.884554339792397615e-01,4.536363636363636687e+01,8.986565514636187801e-01,1.000000000000000000e+00
9.220531838339499631e-01,4.639393939393939092e+01,9.045179622040245837e-01,1.000000000000000000e+00
9.556509336886603867e-01,4.742424242424242919e+01,9.118555381516105784e-01,1.000000000000000000e+00
9.892486835433705883e-01,4.845454545454545325e+01,9.211590688059475562e-01,1.000000000000000000e+00
1.022846433398080901e+00,4.948484848484848442e+01,9.329183436666060869e-01,1.000000000000000000e+00
1.056444183252791102e+00,5.051515151515151558e+01,9.476026847024601185e-01,1.000000000000000000e+00
1.090041933107501304e+00,5.154545454545454675e+01,9.652106606763551921e-01,1.000000000000000000e+00
1.123639682962211506e+00,5.257575757575757081e+01,9.852700871451082199e-01,1.000000000000000000e+00
