region,taxon_group,species_id,split_id,seed,estimand,n_presence,n_PA_test,categorical_encoding,weight_decay,lambda_s,lambda_r,lambda_selection,basis_df,knots,background_scheme,integration_support,objective,model,n_background,converged,runtime_s,auc_roc,auprc,prg,artifact_path,skip_reason,optimizer,train_steps,steps_adam,final_loss,deep_lr,residual,disable_silu,warm_start,freeze_edges
AWT,bird,awt01,pa_holdout,0,global_conditional_density,178,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,22.4101602419978,0.5371669004207573,0.2971777947419499,0.069963546753284,,,lbfgs,15.0,,,,,,,
AWT,bird,awt01,pa_holdout,0,global_conditional_density,178,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,69.41706722500385,0.5681977559607293,0.3241491586219206,0.136035733644265,,,lbfgs,12.0,0.0,1768.15130429672,0.05,True,True,True,True
AWT,bird,awt01,pa_holdout,1,global_conditional_density,178,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,28.42733314000361,0.5366847826086956,0.2963473344309307,0.0706480166011997,,,lbfgs,15.0,,,,,,,
AWT,bird,awt01,pa_holdout,1,global_conditional_density,178,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,66.5534192329942,0.5742461430575035,0.3266404254992477,0.1454581013187831,,,lbfgs,12.0,0.0,1769.2757196675511,0.05,True,True,True,True
AWT,bird,awt01,pa_holdout,2,global_conditional_density,178,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,26.843235446998733,0.5367286115007013,0.2964728166282211,0.0698585744460126,,,lbfgs,15.0,,,,,,,
AWT,bird,awt01,pa_holdout,2,global_conditional_density,178,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,73.29315614400548,0.5686798737727911,0.3262691748854515,0.1348003111117076,,,lbfgs,12.0,0.0,1769.9859793530504,0.05,True,True,True,True
AWT,bird,awt02,pa_holdout,0,global_conditional_density,149,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,27.24786557799962,0.7550557244174266,0.6727978950685664,0.5600879933954008,,,lbfgs,15.0,,,,,,,
AWT,bird,awt02,pa_holdout,0,global_conditional_density,149,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,75.03205902500486,0.8660182370820668,0.7278652175990926,0.7566629546243993,,,lbfgs,12.0,0.0,1419.6675096338065,0.05,True,True,True,True
AWT,bird,awt02,pa_holdout,1,global_conditional_density,149,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,30.379551902995445,0.7541236068895643,0.6721337135681356,0.5584295747140565,,,lbfgs,15.0,,,,,,,
AWT,bird,awt02,pa_holdout,1,global_conditional_density,149,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,70.44007795100333,0.8501722391084092,0.7161630040795348,0.7328272072160545,,,lbfgs,12.0,0.0,1421.059129623074,0.05,True,True,True,True
