region,species_id,seed,auc_additive,auc_deep2,delta_auc
AWT,awt01,0,0.5371669004207573,0.5681977559607293,0.03103085553997198
AWT,awt01,1,0.5366847826086956,0.5742461430575035,0.03756136044880798
AWT,awt01,2,0.5367286115007013,0.5686798737727911,0.031951262272089775
AWT,awt02,0,0.7550557244174266,0.8660182370820668,0.11096251266464019
AWT,awt02,1,0.7541236068895643,0.8501722391084092,0.09604863221884496
AWT,awt02,2,0.7550557244174265,0.8690982776089158,0.11404255319148926
AWT,awt03,0,0.528233954223153,0.519490062088982,-0.008743892134171038
AWT,awt03,1,0.5281604761379918,0.5187552812373709,-0.009405194900620861
AWT,awt03,2,0.5287483008192806,0.5171387633638268,-0.011609537455453789
AWT,awt04,0,0.4647030185004869,0.4668243149255807,0.0021212964250937882
AWT,awt04,1,0.4645639170955626,0.4653637501738766,0.000799833078313994
AWT,awt04,2,0.4646682431492558,0.4659549311448046,0.0012866879955487631
AWT,awt05,0,0.7327717667562269,0.7061941761673081,-0.026577590588918842
AWT,awt05,1,0.7326265340207683,0.7070655725800595,-0.02556096144070874
AWT,awt05,2,0.7324813012853097,0.7062667925350374,-0.026214508750272314
AWT,awt06,0,0.6440180350214952,0.6310509943727938,-0.012967040648701467
AWT,awt06,1,0.6439481318374052,0.6282898186012373,-0.015658313236167842
AWT,awt06,2,0.6439131802453602,0.6363985879556814,-0.007514592289678768
AWT,awt07,0,0.4987368320701654,0.5070785070785071,0.008341675008341709
AWT,awt07,1,0.4984984984984985,0.5065541732208398,0.008055674722341366
AWT,awt07,2,0.4986414986414986,0.504313837647171,0.005672339005672378
AWT,awt08,0,0.7594117435547085,0.7613534213081156,0.001941677753407034
AWT,awt08,1,0.7590521736003739,0.7624321311711193,0.0033799575707453844
AWT,awt08,2,0.7590521736003739,0.7588004746323397,-0.00025169896803423075
AWT,awt09,0,0.7208666075125703,0.7062259686483289,-0.014640638864241384
AWT,awt09,1,0.7207926648920437,0.7088139603667554,-0.011978704525288375
AWT,awt09,2,0.7207187222715173,0.7067435669920141,-0.013975155279503215
AWT,awt10,0,0.6833910034602075,0.6692618223760093,-0.01412918108419825
AWT,awt10,1,0.6833910034602075,0.6707859614434009,-0.012605042016806678
AWT,awt10,2,0.6832674246169055,0.6716922062942825,-0.011575218322622982
AWT,awt11,0,0.3984944718889673,0.4735356386732534,0.07504116678428607
AWT,awt11,1,0.3984944718889673,0.4620089390731592,0.0635144671841919
AWT,awt11,2,0.3984944718889673,0.4735356386732533,0.07504116678428602
AWT,awt12,0,0.8323688271604939,0.8192515432098766,-0.013117283950617287
AWT,awt12,1,0.8321759259259259,0.8186728395061729,-0.013503086419753063
AWT,awt12,2,0.8323688271604939,0.8152006172839505,-0.017168209876543328
AWT,awt13,0,0.7468281430219146,0.747240072499588,0.0004119294776734339
AWT,awt13,1,0.7471576866040534,0.7492997198879552,0.002142033283901834
AWT,awt13,2,0.7474872301861921,0.7480227385071675,0.0005355083209753753
AWT,awt14,0,0.8039160839160839,0.8274125874125875,0.023496503496503562
AWT,awt14,1,0.8031888111888112,0.8307692307692308,0.02758041958041957
AWT,awt14,2,0.8035804195804196,0.8247272727272728,0.021146853146853162
AWT,awt15,0,0.7706571725263314,0.7858997181427088,0.01524254561637739
AWT,awt15,1,0.7715472481827622,0.7810043020323393,0.009457053849577068
AWT,awt15,2,0.7715843346684469,0.782784453345201,0.011200118676754078
AWT,awt16,0,0.6715353260869564,0.6546082427536232,-0.01692708333333326
AWT,awt16,1,0.671478713768116,0.6537590579710144,-0.017719655797101552
AWT,awt16,2,0.6719316123188406,0.6544384057971014,-0.017493206521739135
AWT,awt17,0,0.8015239031584123,0.7907500716889927,-0.01077383146941957
AWT,awt17,1,0.8021383802384172,0.7892753266969809,-0.012863053541436353
AWT,awt17,2,0.8016058334357462,0.7900126991929868,-0.011593134242759429
AWT,awt18,0,0.600373952752508,0.5960231563050591,-0.004350796447448957
AWT,awt18,1,0.6003739527525079,0.5999424688073065,-0.0004314839452014274
AWT,awt18,2,0.6004458667433749,0.5914206608895761,-0.009025205853798735
AWT,awt19,0,0.6595335144927535,0.663383152173913,0.0038496376811594235
AWT,awt19,1,0.6598165760869565,0.6535892210144928,-0.006227355072463747
AWT,awt19,2,0.6593636775362319,0.6615149456521738,0.0021512681159419067
AWT,awt20,0,0.5517788461538462,0.5592307692307691,0.007451923076922884
AWT,awt20,1,0.5515384615384616,0.5539903846153846,0.0024519230769229905
AWT,awt20,2,0.5514423076923076,0.5579807692307692,0.006538461538461604
