region,taxon_group,species_id,split_id,seed,estimand,n_presence,n_PA_test,categorical_encoding,weight_decay,lambda_s,lambda_r,lambda_selection,basis_df,knots,background_scheme,integration_support,objective,model,n_background,converged,runtime_s,auc_roc,auprc,prg,artifact_path,skip_reason,optimizer,train_steps,steps_adam,final_loss,deep_lr,residual,disable_silu,warm_start,freeze_edges,depth,hidden_width
CAN,bird,can01,pa_holdout,0,global_conditional_density,16,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,4.174585525997827,0.7348467301109922,0.028392757551805516,0.44045441980619326,,,lbfgs,15,,,,,,,,,
CAN,bird,can01,pa_holdout,0,global_conditional_density,16,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,19.389478839999356,0.6945181495438739,0.025951277282294908,0.3703258734236963,,,lbfgs,18,0.0,138.45345414917338,0.05,True,True,True,True,2.0,
CAN,bird,can01,pa_holdout,0,global_conditional_density,16,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep3_kan_ipp,50000,True,53.3759000559985,0.5375968263689088,0.021996979226408572,0.18533670811837916,,,lbfgs,18,0.0,89.5264472923377,0.05,True,True,True,True,3.0,4.0
CAN,bird,can02,pa_holdout,0,global_conditional_density,740,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,3.8264507009989757,0.7029528012314255,0.28511358360711775,0.4276217090542651,,,lbfgs,15,,,,,,,,,
CAN,bird,can02,pa_holdout,0,global_conditional_density,740,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,11.496722531999694,0.7035399186195901,0.2851580843046102,0.4279576005487935,,,lbfgs,12,0.0,6007.611855549707,0.05,True,True,True,True,2.0,
CAN,bird,can02,pa_holdout,0,global_conditional_density,740,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep3_kan_ipp,50000,True,34.74793244000102,0.7008720328712978,0.28169054259779686,0.4234048757431105,,,lbfgs,12,0.0,5992.464175823068,0.05,True,True,True,True,3.0,4.0
CAN,bird,can03,pa_holdout,0,global_conditional_density,165,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,3.830961688003299,0.48153105627905624,0.04859641756648888,-0.011135537151083192,,,lbfgs,15,,,,,,,,,
CAN,bird,can03,pa_holdout,0,global_conditional_density,165,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,12.01846583799852,0.47218003644194956,0.047963116313567825,-0.03034850486943661,,,lbfgs,12,0.0,1562.380571603176,0.05,True,True,True,True,2.0,
CAN,bird,can03,pa_holdout,0,global_conditional_density,165,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep3_kan_ipp,50000,True,35.802717779002705,0.495331259864908,0.05042929081770102,0.01889088893717731,,,lbfgs,12,0.0,1484.0819889318086,0.05,True,True,True,True,3.0,4.0
CAN,bird,can04,pa_holdout,0,global_conditional_density,42,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,3.8049525450005603,0.5666894853624753,0.0887209535110162,0.2262115857737133,,,lbfgs,15,,,,,,,,,
CAN,bird,can04,pa_holdout,0,global_conditional_density,42,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,11.949261634999857,0.5605092411186692,0.09278393911974724,0.23642434141237914,,,lbfgs,12,0.0,336.7210125532344,0.05,True,True,True,True,2.0,
CAN,bird,can04,pa_holdout,0,global_conditional_density,42,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep3_kan_ipp,50000,True,34.87807316500039,0.5358245148095505,0.08767438240543651,0.15695235784292075,,,lbfgs,12,0.0,306.4914618733957,0.05,True,True,True,True,3.0,4.0
CAN,bird,can05,pa_holdout,0,global_conditional_density,138,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,3.7822761720017297,0.6313888135315877,0.0795489084462398,0.29383572776104694,,,lbfgs,15,,,,,,,,,
CAN,bird,can05,pa_holdout,0,global_conditional_density,138,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,12.217141236000316,0.628401133373811,0.07943047801082555,0.2916208481718093,,,lbfgs,12,0.0,1132.897677758141,0.05,True,True,True,True,2.0,
CAN,bird,can05,pa_holdout,0,global_conditional_density,138,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep3_kan_ipp,50000,True,35.22899522499938,0.6185385420299965,0.07849135151580011,0.2722577030121282,,,lbfgs,12,0.0,1116.2015405375355,0.05,True,True,True,True,3.0,4.0
CAN,bird,can06,pa_holdout,0,global_conditional_density,27,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,3.826765649999288,0.8841509693886833,0.02065352372132436,0.7811908156091881,,,lbfgs,15,,,,,,,,,
CAN,bird,can06,pa_holdout,0,global_conditional_density,27,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,17.17896290600038,0.8854077046841007,0.023351904921981907,0.791670935338319,,,lbfgs,18,0.0,177.49367883520227,0.05,True,True,True,True,2.0,
CAN,bird,can06,pa_holdout,0,global_conditional_density,27,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep3_kan_ipp,50000,True,49.73867425199933,0.8583989426268497,0.023046149138902308,0.7511783679737053,,,lbfgs,18,0.0,158.77605618298756,0.05,True,True,True,True,3.0,4.0
CAN,bird,can07,pa_holdout,0,global_conditional_density,221,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,3.7052580819981813,0.6681587824655671,0.034467260528602446,0.34323948222230305,,,lbfgs,15,,,,,,,,,
CAN,bird,can07,pa_holdout,0,global_conditional_density,221,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,11.602575458000501,0.6621776643900538,0.034262854041020516,0.3377296011750812,,,lbfgs,12,0.0,1752.0658358467522,0.05,True,True,True,True,2.0,
CAN,bird,can07,pa_holdout,0,global_conditional_density,221,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep3_kan_ipp,50000,True,36.06332677899991,0.6599170810085264,0.03466213969025942,0.34242668354859485,,,lbfgs,12,0.0,1736.9151358286504,0.05,True,True,True,True,3.0,4.0
CAN,bird,can08,pa_holdout,0,global_conditional_density,322,14571,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,3.9145647540026403,0.5416822545510626,0.19420782396738254,0.08025454687978376,,,lbfgs,15,,,,,,,,,
