region,species_id,seed,auc_additive,auc_deep2,auc_deep3,delta_deep2,delta_deep3,delta_d3_minus_d2
CAN,can01,0,0.7348467301109922,0.6945181495438739,0.5375968263689088,-0.0403285805671183,-0.1972499037420834,-0.1569213231749651
CAN,can02,0,0.7029528012314255,0.7035399186195901,0.7008720328712978,0.0005871173881646374,-0.002080768360127605,-0.0026678857482922425
CAN,can03,0,0.48153105627905624,0.47218003644194956,0.495331259864908,-0.009351019837106678,0.013800203585851767,0.023151223422958445
CAN,can04,0,0.5666894853624753,0.5605092411186692,0.5358245148095505,-0.006180244243806143,-0.03086497055292481,-0.024684726309118665
CAN,can05,0,0.6313888135315877,0.628401133373811,0.6185385420299965,-0.0029876801577767287,-0.012850271501591237,-0.009862591343814509
CAN,can06,0,0.8841509693886833,0.8854077046841007,0.8583989426268497,0.001256735295417366,-0.025752026761833635,-0.027008762057251
CAN,can07,0,0.6681587824655671,0.6621776643900538,0.6599170810085264,-0.005981118075513381,-0.008241701457040729,-0.002260583381527348
CAN,can08,0,0.5416822545510626,0.5431725548280139,0.5413666842304801,0.0014903002769512952,-0.00031557032058249224,-0.0018058705975337874
CAN,can09,0,0.7124999574197021,0.7109687699062892,0.6783722744351297,-0.0015311875134128572,-0.03412768298457236,-0.0325964954711595
CAN,can10,0,0.6698061370723242,0.6629696243005595,0.6454437050959833,-0.006836512771764669,-0.024362431976340915,-0.017525919204576246
CAN,can11,0,0.5955062493874792,0.5969836585598867,0.5948511825442655,0.0014774091724074623,-0.000655066843213703,-0.0021324760156211653
CAN,can12,0,0.5300757309881022,0.5174691116804675,0.5258557750002245,-0.012606619307634737,-0.0042199559878777215,0.008386663319757015
CAN,can13,0,0.3832927707075892,0.4419194824503956,0.4273547956331998,0.05862671174280637,0.044062024925610566,-0.014564686817195804
CAN,can14,0,0.38916810740244157,0.507043345564886,0.3895232340695787,0.11787523816244438,0.00035512666713716223,-0.11752011149530722
CAN,can15,0,0.6810392350826662,0.6787891767461237,0.6588755005132184,-0.00225005833654246,-0.022163734569447757,-0.019913676232905297
CAN,can16,0,0.4970595482819708,0.4974114123847284,0.49821237496059567,0.00035186410275761526,0.0011528266786248742,0.0008009625758672589
CAN,can17,0,0.47040202633165473,0.4740610831333605,0.47006691537763945,0.003659056801705751,-0.000335110954015283,-0.003994167755721034
CAN,can18,0,0.7808774181386137,0.7755798851346304,0.7746898021779903,-0.005297533003983279,-0.006187615960623338,-0.0008900829566400592
CAN,can19,0,0.46411201622327625,0.4628030407185903,0.46510592103755644,-0.0013089755046859497,0.0009939048142801887,0.0023028803189661384
CAN,can20,0,0.6239813502920393,0.6181619333946486,0.6151771090218195,-0.005819416897390628,-0.008804241270219726,-0.002984824372829098
