region,species_id,lambda_s,lambda_path,n_presence
AWT,awt01,0.001,po_random_5fold,178
AWT,awt02,0.01,po_random_5fold,149
AWT,awt03,0.0001,po_random_5fold,219
AWT,awt04,0.01,po_random_5fold,216
AWT,awt05,0.001,po_random_5fold,114
AWT,awt06,0.01,po_random_5fold,265
AWT,awt07,0.01,po_random_5fold,158
AWT,awt08,0.01,po_random_5fold,231
AWT,awt09,1.0,po_random_5fold,112
AWT,awt10,0.001,po_random_5fold,122
AWT,awt11,0.0001,po_random_5fold,82
AWT,awt12,0.1,po_random_5fold,32
AWT,awt13,0.001,po_random_5fold,122
AWT,awt14,0.0001,po_random_5fold,99
AWT,awt15,0.01,po_random_5fold,254
AWT,awt16,0.1,po_random_5fold,144
AWT,awt17,0.001,po_random_5fold,184
AWT,awt18,0.01,po_random_5fold,242
AWT,awt19,0.001,po_random_5fold,78
AWT,awt20,0.1,po_random_5fold,104
AWT,awt21,0.01,frozen_n_po_lt_30,17
AWT,awt22,0.01,frozen_n_po_lt_30,9
AWT,awt23,1.0,po_random_5fold,56
AWT,awt24,0.01,frozen_n_po_lt_30,10
AWT,awt25,0.01,frozen_n_po_lt_30,12
AWT,awt26,1.0,po_random_5fold,34
AWT,awt27,1.0,po_random_5fold,41
AWT,awt28,1.0,po_random_5fold,31
AWT,awt29,0.01,po_random_5fold,44
AWT,awt30,1.0,po_random_5fold,66
AWT,awt31,0.01,frozen_n_po_lt_30,14
AWT,awt32,0.0001,po_random_5fold,74
AWT,awt33,0.01,frozen_n_po_lt_30,18
AWT,awt34,0.01,frozen_n_po_lt_30,28
AWT,awt35,1.0,po_random_5fold,44
AWT,awt36,0.1,po_random_5fold,56
AWT,awt37,0.01,frozen_n_po_lt_30,28
AWT,awt38,1.0,po_random_5fold,42
AWT,awt39,0.01,frozen_n_po_lt_30,20
AWT,awt40,0.1,po_random_5fold,57
CAN,can01,0.01,frozen_n_po_lt_30,16
CAN,can02,0.0001,po_random_5fold,740
CAN,can03,1.0,po_random_5fold,165
CAN,can04,0.0001,po_random_5fold,42
CAN,can05,1.0,po_random_5fold,138
CAN,can06,0.01,frozen_n_po_lt_30,27
CAN,can07,1.0,po_random_5fold,221
CAN,can08,0.0001,po_random_5fold,322
CAN,can09,0.1,po_random_5fold,119
CAN,can10,0.0001,po_random_5fold,234
CAN,can11,1.0,po_random_5fold,478
CAN,can12,0.001,po_random_5fold,312
CAN,can13,1.0,po_random_5fold,39
CAN,can14,0.01,frozen_n_po_lt_30,18
CAN,can15,0.1,po_random_5fold,721
CAN,can16,1.0,po_random_5fold,57
CAN,can17,0.001,po_random_5fold,313
CAN,can18,0.01,po_random_5fold,612
CAN,can19,0.1,po_random_5fold,109
CAN,can20,0.001,po_random_5fold,380
NSW,nsw01,0.01,frozen_n_po_lt_30,26
NSW,nsw02,0.01,frozen_n_po_lt_30,6
NSW,nsw03,0.01,frozen_n_po_lt_30,12
NSW,nsw04,0.0001,po_random_5fold,49
NSW,nsw05,0.01,frozen_n_po_lt_30,22
NSW,nsw06,1.0,po_random_5fold,44
NSW,nsw07,0.01,frozen_n_po_lt_30,28
NSW,nsw08,1.0,po_random_5fold,129
