region,species_id,lambda_s,lambda_selection,additive_kan_ipp,gam_ipp_same_basis,maxnet_bg10k,maxnet_bg50k
AWT,awt01,0.001,po_random_5fold,0.5543039971949509,0.5547861150070126,0.4813727208976157,0.488648316970547
AWT,awt02,0.01,po_random_5fold,0.754690982776089,0.755096251266464,0.7874772036474165,0.7897061803444781
AWT,awt03,0.0001,po_random_5fold,0.5269113486902531,0.5272420000734781,0.4994305448400014,0.4995040229251626
AWT,awt04,0.01,po_random_5fold,0.4647377938517179,0.4647030185004868,0.4883850326888301,0.4915495896508554
AWT,awt05,0.001,po_random_5fold,0.7291409483697624,0.7287052501633868,0.7380727616004648,0.7389441580132161
AWT,awt06,0.01,po_random_5fold,0.6439481318374052,0.6437034706930902,0.7244765999091259,0.7263989374716018
AWT,awt07,0.01,po_random_5fold,0.4987368320701654,0.4989274989274989,0.5030268363601696,0.5076505076505077
AWT,awt08,0.01,po_random_5fold,0.7595915285318758,0.7590881305958075,0.6652763295099061,0.6700586099025565
AWT,awt09,1.0,po_random_5fold,0.7238243123336291,0.7238243123336291,0.7072611653356995,0.7130286897367644
AWT,awt10,0.001,po_random_5fold,0.6625885648376998,0.6749464491679025,0.6717745921898172,0.6709507332344702
AWT,awt11,0.0001,po_random_5fold,0.4382498235709245,0.4403669724770642,0.4067278287461774,0.4041402023053398
AWT,awt12,0.1,po_random_5fold,0.8614969135802468,0.8614969135802468,0.8751929012345679,0.8761574074074074
AWT,awt13,0.001,po_random_5fold,0.733028505519855,0.7326577689899489,0.7493821057834898,0.75
AWT,awt14,0.0001,po_random_5fold,0.7740979020979021,0.7726433566433567,0.8827412587412587,0.8757482517482518
AWT,awt15,0.01,po_random_5fold,0.7707313454977007,0.7699896157840083,0.8091158581812787,0.8098205014092865
AWT,awt16,0.1,po_random_5fold,0.6709125905797102,0.6709125905797102,0.7377151268115941,0.7335258152173912
AWT,awt17,0.001,po_random_5fold,0.7980828315103846,0.7974683544303797,0.8130760722625047,0.8095530703371431
AWT,awt18,0.01,po_random_5fold,0.600302038761641,0.6001941677753407,0.5242889504153033,0.5302937686526914
AWT,awt19,0.001,po_random_5fold,0.6463428442028986,0.6450407608695652,0.6829710144927537,0.6768002717391305
AWT,awt20,0.1,po_random_5fold,0.5161538461538462,0.5161538461538462,0.4892307692307692,0.4786057692307692
AWT,awt21,0.01,frozen_n_po_lt_30,0.5689024390243902,0.5701219512195121,0.5878048780487806,0.5969512195121951
AWT,awt22,0.01,frozen_n_po_lt_30,0.6732542819499341,0.6732542819499341,0.7191480017566974,0.7200263504611331
AWT,awt23,1.0,po_random_5fold,0.6539792387543253,0.6539792387543253,0.6561418685121108,0.653114186851211
AWT,awt24,0.01,frozen_n_po_lt_30,0.4967901234567901,0.4962962962962962,0.6399999999999999,0.6419753086419753
AWT,awt25,0.01,frozen_n_po_lt_30,0.5224358974358975,0.5219017094017094,0.4663461538461538,0.4652777777777778
AWT,awt26,1.0,po_random_5fold,0.7034883720930232,0.7034883720930232,0.7289244186046511,0.7318313953488371
AWT,awt27,1.0,po_random_5fold,0.7175308641975309,0.7175308641975309,0.748641975308642,0.7432098765432098
AWT,awt28,1.0,po_random_5fold,0.849025974025974,0.849025974025974,0.8798701298701299,0.8758116883116883
AWT,awt29,0.01,po_random_5fold,0.8360153256704981,0.8375478927203065,0.8375478927203065,0.8383141762452107
AWT,awt30,1.0,po_random_5fold,0.6201141853315766,0.6201141853315766,0.6104523495827844,0.6064997804128239
AWT,awt31,0.01,frozen_n_po_lt_30,0.6919354838709676,0.6919354838709676,0.6987903225806452,0.6967741935483872
AWT,awt32,0.0001,po_random_5fold,0.6003134796238244,0.5991379310344828,0.5760188087774295,0.5775862068965516
AWT,awt33,0.01,frozen_n_po_lt_30,0.7029914529914529,0.7029914529914529,0.5833333333333333,0.5854700854700855
AWT,awt34,0.01,frozen_n_po_lt_30,0.8973180076628353,0.8973180076628353,0.8390804597701149,0.8490421455938697
AWT,awt35,1.0,po_random_5fold,0.6861538461538461,0.6861538461538461,0.6896153846153845,0.6923076923076924
AWT,awt36,0.1,po_random_5fold,0.3925413302575932,0.3925413302575932,0.3760092272202998,0.3740868896578239
AWT,awt37,0.01,frozen_n_po_lt_30,0.8336272780717225,0.8348030570252792,0.829512051734274,0.8283362727807173
AWT,awt38,1.0,po_random_5fold,0.8081395348837209,0.8081395348837209,0.8263081395348837,0.8306686046511629
AWT,awt39,0.01,frozen_n_po_lt_30,0.7575892857142856,0.7575892857142856,0.8053571428571428,0.8044642857142857
AWT,awt40,0.1,po_random_5fold,0.7575757575757576,0.7575757575757576,0.7659200702678963,0.7646025472112429
CAN,can01,0.01,frozen_n_po_lt_30,0.734843698365586,0.7348405150329096,0.6695720388184682,0.6700416561818805
CAN,can02,0.0001,po_random_5fold,0.7028290176551696,0.7028361210197559,0.707400322859681,0.7041208578054435
CAN,can03,1.0,po_random_5fold,0.4574404741146046,0.4574411408357031,0.4602677818619858,0.460108179088262
CAN,can04,0.0001,po_random_5fold,0.5825983373467215,0.5832536505244648,0.4427758107214311,0.459476410208583
CAN,can05,1.0,po_random_5fold,0.6314697688037998,0.6314120235803762,0.6301468390841719,0.6295136655083173
CAN,can06,0.01,frozen_n_po_lt_30,0.8841522690115329,0.8841561678800811,0.8883708447808446,0.8852387537136722
CAN,can07,1.0,po_random_5fold,0.6622253311043871,0.6622409387896114,0.6587635887045915,0.6580490098189213
CAN,can08,0.0001,po_random_5fold,0.5398029693554295,0.5396007338246918,0.5380771319149483,0.5394228198916613
CAN,can09,0.1,po_random_5fold,0.7018689344365605,0.7018610570814442,0.6999085375200553,0.699556824259188
CAN,can10,0.0001,po_random_5fold,0.6685819512558122,0.6686461041377109,0.6772134244556307,0.6759534714570685
