protocol,stage,region,species_id,taxon_group,seed,n_presence,n_PA_test,lambda_s,lambda_selection,background_scheme,integration_support,objective,remediation,n_background,lambda_cv_scores,lambda_best_cv_score,model,converged,runtime_s,final_loss,skip_reason,auc_roc,auprc,prg,cor,maxnet_max_bg,depth,mixer_input,hidden_width,residual,disable_silu,freeze_edges,warm_start,last_grad_norm,param_l2_norm,loss_history,adam_lr,steps_adam,steps_lbfgs,failed
methodological_closure_v1,A,AWT,awt01,bird,0,178,340,0.001,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,"{""0.0001"": 0.7828928571428572, ""0.001"": 0.7837611904761905, ""0.01"": 0.7789202380952381, ""0.1"": 0.7711079365079365, ""1.0"": 0.7540472222222222}",0.7837611904761905,additive_kan_ipp,True,2.8934361659994465,,,0.5543039971949509,0.3160348640374993,0.1050945407129004,0.1110322092031107,,,,,,,,,,,,,,,
methodological_closure_v1,A,AWT,awt01,bird,0,178,340,0.001,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,"{""0.0001"": 0.7828928571428572, ""0.001"": 0.7837611904761905, ""0.01"": 0.7789202380952381, ""0.1"": 0.7711079365079365, ""1.0"": 0.7540472222222222}",0.7837611904761905,gam_ipp_same_basis,True,3.939509472998907,,,0.5547861150070126,0.3151329861559224,0.1094579187674561,0.1097689721766391,,,,,,,,,,,,,,,
methodological_closure_v1,A,AWT,awt01,bird,0,178,340,0.001,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,"{""0.0001"": 0.7828928571428572, ""0.001"": 0.7837611904761905, ""0.01"": 0.7789202380952381, ""0.1"": 0.7711079365079365, ""1.0"": 0.7540472222222222}",0.7837611904761905,maxnet_bg10k,True,4.476540016999934,,,0.4813727208976157,0.2540323122746343,-0.0029342623165796,0.044734831076665,10000.0,,,,,,,,,,,,,,
methodological_closure_v1,A,AWT,awt01,bird,0,178,340,0.001,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,"{""0.0001"": 0.7828928571428572, ""0.001"": 0.7837611904761905, ""0.01"": 0.7789202380952381, ""0.1"": 0.7711079365079365, ""1.0"": 0.7540472222222222}",0.7837611904761905,maxnet_bg50k,True,17.28470423500403,,,0.488648316970547,0.2584704939592778,0.0086248246248291,0.0553496305314963,50000.0,,,,,,,,,,,,,,
methodological_closure_v1,A,AWT,awt02,bird,0,149,340,0.01,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,"{""0.0001"": 0.8262277011494253, ""0.001"": 0.831202183908046, ""0.01"": 0.8324909195402299, ""0.1"": 0.8277062068965517, ""1.0"": 0.8098681609195403}",0.8324909195402299,additive_kan_ipp,True,3.41345074599667,,,0.754690982776089,0.6723524454876345,0.557444534566196,0.3940149716073048,,,,,,,,,,,,,,,
methodological_closure_v1,A,AWT,awt02,bird,0,149,340,0.01,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,"{""0.0001"": 0.8262277011494253, ""0.001"": 0.831202183908046, ""0.01"": 0.8324909195402299, ""0.1"": 0.8277062068965517, ""1.0"": 0.8098681609195403}",0.8324909195402299,gam_ipp_same_basis,True,6.607660391004174,,,0.755096251266464,0.6726536476525883,0.5574389452364654,0.3952552091603731,,,,,,,,,,,,,,,
methodological_closure_v1,A,AWT,awt02,bird,0,149,340,0.01,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,"{""0.0001"": 0.8262277011494253, ""0.001"": 0.831202183908046, ""0.01"": 0.8324909195402299, ""0.1"": 0.8277062068965517, ""1.0"": 0.8098681609195403}",0.8324909195402299,maxnet_bg10k,True,4.517488850993686,,,0.7874772036474165,0.6937466918629462,0.6138209429243882,0.5131849195851613,10000.0,,,,,,,,,,,,,,
methodological_closure_v1,A,AWT,awt02,bird,0,149,340,0.01,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,"{""0.0001"": 0.8262277011494253, ""0.001"": 0.831202183908046, ""0.01"": 0.8324909195402299, ""0.1"": 0.8277062068965517, ""1.0"": 0.8098681609195403}",0.8324909195402299,maxnet_bg50k,True,16.77938840700517,,,0.7897061803444781,0.698683278285705,0.6187378559530082,0.5127794647779239,50000.0,,,,,,,,,,,,,,
methodological_closure_v1,A,AWT,awt03,bird,0,219,340,0.0001,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,"{""0.0001"": 0.8677907505285412, ""0.001"": 0.8676552325581396, ""0.01"": 0.8675412262156449, ""0.1"": 0.8627540169133192, ""1.0"": 0.849712843551797}",0.8677907505285412,additive_kan_ipp,True,3.363610906999384,,,0.5269113486902531,0.387686275636396,0.0629882000781411,0.10505302315095,,,,,,,,,,,,,,,
methodological_closure_v1,A,AWT,awt03,bird,0,219,340,0.0001,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,"{""0.0001"": 0.8677907505285412, ""0.001"": 0.8676552325581396, ""0.01"": 0.8675412262156449, ""0.1"": 0.8627540169133192, ""1.0"": 0.849712843551797}",0.8677907505285412,gam_ipp_same_basis,True,3.605023638003331,,,0.5272420000734781,0.388610129804779,0.0604558840374162,0.1284020632051263,,,,,,,,,,,,,,,
