region,model,mean,std,count
AWT,additive_kan_bce,0.6604581697030282,0.1141497631550674,40
AWT,additive_kan_ipp,0.6680909715619521,0.12423691192764309,40
AWT,gam_ipp,0.668048613152651,0.124211254648162,40
AWT,maxnet,0.6775454570455101,0.13909728365572002,40
CAN,additive_kan_bce,0.608543182261173,0.12675474372457904,20
CAN,additive_kan_ipp,0.60047566205375,0.13245793541479503,20
CAN,gam_ipp,0.6004695352634218,0.13241241651515254,20
CAN,maxnet,0.5812725916540555,0.14989193442687354,20
NSW,additive_kan_bce,0.7093183116121469,0.13770334233434123,53
NSW,additive_kan_ipp,0.7081624916527677,0.14460877552801474,53
NSW,gam_ipp,0.7088386670769949,0.14517159200384142,53
NSW,maxnet,0.7068786824348811,0.15001998969167288,53
NZ,additive_kan_bce,0.7224126388415792,0.1314853740940241,52
NZ,additive_kan_ipp,0.7381047541068843,0.1317456066739615,52
NZ,gam_ipp,0.7382669438259839,0.13192294805896543,52
NZ,maxnet,0.7287527861335457,0.1416731229062434,52
SA,additive_kan_bce,0.7810436269968278,0.11365375012942083,30
SA,additive_kan_ipp,0.791972158665127,0.11696109026624918,30
SA,gam_ipp,0.7918107497858099,0.11711671111021806,30
SA,maxnet,0.7620294189331898,0.126450564469452,30
SWI,additive_kan_bce,0.7994486006545795,0.09349903823802412,30
SWI,additive_kan_ipp,0.8033609664281676,0.09347531197983107,30
SWI,gam_ipp,0.8033630303658283,0.09359136779480398,30
SWI,maxnet,0.7882374085487025,0.1043294303032213,30
