region,taxon_group,species_id,split_id,seed,estimand,n_presence,n_PA_test,categorical_encoding,weight_decay,lambda_r,basis_df,knots,background_scheme,n_background,integration_support,model,objective,lambda_s,lambda_selection,converged,runtime_s,auc_roc,auprc,prg,cor,artifact_path,skip_reason,maxnet_bg_n,pos_weight
AWT,bird,awt01,pa_holdout,0,global_conditional_density,178,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,5.0804,0.48137272089761574,0.25403231227463424,0.0016591322910091539,0.044734831076664976,,,10000.0,
AWT,bird,awt01,pa_holdout,0,global_conditional_density,178,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,5.9951,0.5371669004207573,0.2971777947419499,0.06996354675328409,0.10434336716738402,,,,
AWT,bird,awt01,pa_holdout,0,global_conditional_density,178,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,3.0783,0.5372107293127629,0.2965251058320754,0.06524496843488324,0.10484936975539112,,,,
AWT,bird,awt01,pa_holdout,0,global_conditional_density,178,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.7781,0.5602647265077139,0.30759751807411995,0.14377493984737041,0.10541817687016693,,,,280.8988764044944
AWT,bird,awt02,pa_holdout,0,global_conditional_density,149,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,3.9247,0.7874772036474165,0.6937466918629461,0.6188563817704058,0.5131849195851614,,,10000.0,
AWT,bird,awt02,pa_holdout,0,global_conditional_density,149,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.5341,0.7550557244174266,0.6727978950685664,0.5600879933954008,0.39476422091787194,,,,
AWT,bird,awt02,pa_holdout,0,global_conditional_density,149,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,3.2547,0.7550557244174265,0.6726398767357691,0.5598303256386316,0.3948094399106733,,,,
AWT,bird,awt02,pa_holdout,0,global_conditional_density,149,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.876,0.7324012158054711,0.6295049073346038,0.5139186802462249,0.45521038966711735,,,,335.5704697986577
AWT,bird,awt03,pa_holdout,0,global_conditional_density,219,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,5.2139,0.49943054484000143,0.36041545596513347,0.04394794996116215,0.09849651489994894,,,10000.0,
AWT,bird,awt03,pa_holdout,0,global_conditional_density,219,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.7525,0.528233954223153,0.38847606621677666,0.06679290578627574,0.13003310090108394,,,,
AWT,bird,awt03,pa_holdout,0,global_conditional_density,219,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,3.023,0.5281604761379919,0.3899276566072861,0.06671267989050014,0.13117088427570198,,,,
AWT,bird,awt03,pa_holdout,0,global_conditional_density,219,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.6827,0.5161100701715713,0.38674061928542763,0.0445280672408304,0.05179472961048194,,,,228.31050228310502
AWT,bird,awt04,pa_holdout,0,global_conditional_density,216,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,5.1339,0.4883850326888301,0.4872564578835797,-0.044855675902947374,-0.012905833177164565,,,10000.0,
AWT,bird,awt04,pa_holdout,0,global_conditional_density,216,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.5287,0.4647030185004869,0.4525546510353332,-0.04309975938386358,-0.028595706565338233,,,,
AWT,bird,awt04,pa_holdout,0,global_conditional_density,216,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.8744,0.4647377938517179,0.45255233651333104,-0.04253750596208759,-0.02853843640416572,,,,
AWT,bird,awt04,pa_holdout,0,global_conditional_density,216,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.4967,0.4878286270691334,0.47550076240904354,-0.009891006860678151,0.0398736540640641,,,,231.4814814814815
AWT,bird,awt05,pa_holdout,0,global_conditional_density,114,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,3.5606,0.7380727616004648,0.25160856892938505,0.503603403207396,0.2131968759087095,,,10000.0,
AWT,bird,awt05,pa_holdout,0,global_conditional_density,114,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.6021,0.7327717667562269,0.27356060344891575,0.5112567007822605,0.20823589947627485,,,,
AWT,bird,awt05,pa_holdout,0,global_conditional_density,114,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.6519,0.7319729867112047,0.27306834418672965,0.5096949360095704,0.21981677177278033,,,,
AWT,bird,awt05,pa_holdout,0,global_conditional_density,114,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.4943,0.7364752015104205,0.29858933814378397,0.5239274063301897,0.26333610044573574,,,,438.5964912280702
AWT,bird,awt06,pa_holdout,0,global_conditional_density,265,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,5.5167,0.7244765999091259,0.7051739126991191,0.4777714908658824,0.45265446807950993,,,10000.0,
AWT,bird,awt06,pa_holdout,0,global_conditional_density,265,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.5536,0.6440180350214952,0.6196974616626065,0.3191617129398542,0.32070150243265066,,,,
AWT,bird,awt06,pa_holdout,0,global_conditional_density,265,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.7634,0.6436685191010451,0.6194740459055602,0.3181754645770836,0.3199351966051483,,,,
AWT,bird,awt06,pa_holdout,0,global_conditional_density,265,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.5376,0.6333228478557198,0.6196878322605088,0.2773088785974853,0.24402270463931428,,,,188.67924528301887
AWT,bird,awt07,pa_holdout,0,global_conditional_density,158,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,3.7028,0.5030268363601696,0.24468473986972628,0.011725985704921383,0.03194253889506869,,,10000.0,
AWT,bird,awt07,pa_holdout,0,global_conditional_density,158,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.5365,0.4987368320701654,0.23248894465978087,0.01275903339604365,0.045846837193344696,,,,
AWT,bird,awt07,pa_holdout,0,global_conditional_density,158,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.6469,0.49887983221316556,0.23252649279881377,0.015360149504624642,0.04901856370610591,,,,
AWT,bird,awt07,pa_holdout,0,global_conditional_density,158,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.472,0.5048858382191715,0.229515043826596,0.04248094740519628,0.027309923587961003,,,,316.45569620253167
AWT,bird,awt08,pa_holdout,0,global_conditional_density,231,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,4.9476,0.6652763295099061,0.576275395253695,0.303909419975811,0.29356218699257386,,,10000.0,
AWT,bird,awt08,pa_holdout,0,global_conditional_density,231,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.5089,0.7594117435547085,0.6338194307651486,0.5376371872798245,0.26645514586895924,,,,
AWT,bird,awt08,pa_holdout,0,global_conditional_density,231,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.8101,0.7589443026140735,0.6337967111243188,0.5368017958336351,0.255767003888732,,,,
AWT,bird,awt08,pa_holdout,0,global_conditional_density,231,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.5024,0.7264751357376578,0.6471839756576665,0.45399855882529233,0.38405129328380266,,,,216.45021645021646
AWT,bird,awt09,pa_holdout,0,global_conditional_density,112,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,3.0235,0.7072611653356995,0.25040872810473436,0.4573004315722038,0.23101883213300067,,,10000.0,
AWT,bird,awt09,pa_holdout,0,global_conditional_density,112,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.5107,0.7208666075125703,0.3898990749749275,0.5237853235552987,0.2612807129360673,,,,
AWT,bird,awt09,pa_holdout,0,global_conditional_density,112,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.5895,0.7207187222715172,0.3898954687579497,0.5235990976961951,0.26158977008586076,,,,
AWT,bird,awt09,pa_holdout,0,global_conditional_density,112,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.5164,0.672360248447205,0.22658145142962577,0.3913123574224724,0.2045548035737655,,,,446.42857142857144
AWT,bird,awt10,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,3.5664,0.6717745921898172,0.41813984914184354,0.36218123840516414,0.2828543859992703,,,10000.0,
AWT,bird,awt10,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.3889,0.6833910034602075,0.42953226132110917,0.3958236082699542,0.2895450968800659,,,,
AWT,bird,awt10,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.6382,0.683308617564673,0.4295326574644083,0.39576010009776474,0.28917448032485005,,,,
AWT,bird,awt10,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.5715,0.6604465315537981,0.4041071795848792,0.3450449019083618,0.24910609999149383,,,,409.8360655737705
AWT,bird,awt11,pa_holdout,0,global_conditional_density,82,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,2.4851,0.4067278287461774,0.03303271557237531,-0.26408875440943463,-0.011277267276171357,,,10000.0,
AWT,bird,awt11,pa_holdout,0,global_conditional_density,82,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.6739,0.3984944718889673,0.03258709231405944,-0.2705163297706013,0.00734462392847242,,,,
AWT,bird,awt11,pa_holdout,0,global_conditional_density,82,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.6856,0.398964949423665,0.032679176432560415,-0.27166707109472876,0.00821059985988877,,,,
AWT,bird,awt11,pa_holdout,0,global_conditional_density,82,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.6428,0.4676546694895319,0.04257722793967872,-0.013460080513920046,-0.006628138921203852,,,,609.7560975609756
AWT,bird,awt12,pa_holdout,0,global_conditional_density,32,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,1.8416,0.8751929012345679,0.18290251187606332,0.7240899748008515,0.23277392626373322,,,10000.0,
AWT,bird,awt12,pa_holdout,0,global_conditional_density,32,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.7278,0.8323688271604939,0.1523468313294956,0.6690772170417518,0.19038711971785194,,,,
AWT,bird,awt12,pa_holdout,0,global_conditional_density,32,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.9474,0.8323688271604939,0.1523468313294956,0.6690772170417518,0.18898442602250756,,,,
AWT,bird,awt12,pa_holdout,0,global_conditional_density,32,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.6493,0.7993827160493827,0.14629973255371134,0.651478553020334,0.22688503570993881,,,,1562.5
AWT,bird,awt13,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,3.7624,0.7493821057834898,0.5105996134851503,0.5357640775190511,0.29268993516555125,,,10000.0,
AWT,bird,awt13,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.4664,0.7468281430219146,0.47529291697708437,0.5368039602801683,0.3076218853884167,,,,
AWT,bird,awt13,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.5945,0.7455923545888944,0.4737168413850467,0.5344479206524836,0.3174066811729023,,,,
AWT,bird,awt13,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.6293,0.7637584445542922,0.49048883735885385,0.5626329558500356,0.3905358665094218,,,,409.8360655737705
AWT,bird,awt14,pa_holdout,0,global_conditional_density,99,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,3.1363,0.8827412587412587,0.6895529362748242,0.8092882354540504,0.4657853945766479,,,10000.0,
AWT,bird,awt14,pa_holdout,0,global_conditional_density,99,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.4166,0.8039160839160839,0.48546589080473357,0.638835741842379,0.32376681264998747,,,,
AWT,bird,awt14,pa_holdout,0,global_conditional_density,99,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.684,0.8035804195804195,0.48351942769279976,0.636961538251594,0.3130351739096751,,,,
AWT,bird,awt14,pa_holdout,0,global_conditional_density,99,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.5811,0.8713286713286713,0.6866172204999507,0.7980491318220948,0.3775509409107632,,,,505.050505050505
AWT,bird,awt15,pa_holdout,0,global_conditional_density,254,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,5.8263,0.8091158581812787,0.8709320618626022,0.5178316861286848,0.5041007754577728,,,10000.0,
AWT,bird,awt15,pa_holdout,0,global_conditional_density,254,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.4241,0.7706571725263314,0.8302300127479233,0.461830907608206,0.4782489047814253,,,,
AWT,bird,awt15,pa_holdout,0,global_conditional_density,254,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.5931,0.7698412698412699,0.8290741188611255,0.4622001754834219,0.478349870572045,,,,
AWT,bird,awt15,pa_holdout,0,global_conditional_density,254,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.8194,0.7734386589526778,0.8294435842034378,0.4771989223184966,0.33115506372667086,,,,196.8503937007874
AWT,bird,awt16,pa_holdout,0,global_conditional_density,144,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,3.9834,0.7377151268115941,0.420423770802116,0.489382336171643,0.2168539553036846,,,10000.0,
AWT,bird,awt16,pa_holdout,0,global_conditional_density,144,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.478,0.6715353260869564,0.25805506634905057,0.37129691059188163,0.2322852898180836,,,,
AWT,bird,awt16,pa_holdout,0,global_conditional_density,144,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.8893,0.6712522644927537,0.2580576444436494,0.37123898709441416,0.2305364359856427,,,,
AWT,bird,awt16,pa_holdout,0,global_conditional_density,144,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.6034,0.6976902173913043,0.2969369015158216,0.40638724940847376,0.2669243940912878,,,,347.22222222222223
AWT,bird,awt17,pa_holdout,0,global_conditional_density,184,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,4.2881,0.8130760722625047,0.6437735262936264,0.6552226319115819,0.3595612214131977,,,10000.0,
AWT,bird,awt17,pa_holdout,0,global_conditional_density,184,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.5818,0.8015239031584123,0.549913193805907,0.6258659760474404,0.42759436395985334,,,,
AWT,bird,awt17,pa_holdout,0,global_conditional_density,184,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.6686,0.8014419728810782,0.5493343345512444,0.6257486199385319,0.4264581427829922,,,,
AWT,bird,awt17,pa_holdout,0,global_conditional_density,184,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.6283,0.8315513498013191,0.5696930202347776,0.674634030438062,0.4956097208924496,,,,271.7391304347826
AWT,bird,awt18,pa_holdout,0,global_conditional_density,242,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,5.1269,0.5242889504153033,0.40333219860195363,0.0959501453122224,0.07099117677066846,,,10000.0,
AWT,bird,awt18,pa_holdout,0,global_conditional_density,242,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.6173,0.600373952752508,0.4679914598950217,0.20740491551466575,0.17771117016938634,,,,
AWT,bird,awt18,pa_holdout,0,global_conditional_density,242,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.7193,0.6001941677753406,0.46787112481571425,0.20682396532976707,0.18195853216866376,,,,
AWT,bird,awt18,pa_holdout,0,global_conditional_density,242,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.6524,0.5931106396749488,0.4766921055824284,0.1763820598768669,0.15514337777956275,,,,206.61157024793388
AWT,bird,awt19,pa_holdout,0,global_conditional_density,78,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,2.8175,0.6829710144927537,0.3042740252873787,0.3925048791237694,0.20612810832091538,,,10000.0,
AWT,bird,awt19,pa_holdout,0,global_conditional_density,78,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,4.583,0.6595335144927535,0.2562769995426911,0.34545210293524337,0.2041412239028305,,,,
AWT,bird,awt19,pa_holdout,0,global_conditional_density,78,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.8395,0.6595335144927535,0.2562397964911075,0.34614467530622445,0.20295713598678236,,,,
AWT,bird,awt19,pa_holdout,0,global_conditional_density,78,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,4.5952,0.6508718297101449,0.2630272242555999,0.3260516609219259,0.20976186097034627,,,,641.025641025641
AWT,bird,awt20,pa_holdout,0,global_conditional_density,104,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,2.8244,0.48923076923076925,0.22238288795151018,-0.0034829077945163446,-0.05166702072395969,,,10000.0,
