scope,region,taxon_group,pair,n,mean_delta,ci_lo,ci_hi,median_delta,mean_abs_delta,pearson_r,pct_pos
global,ALL,ALL,KAN-GAM,225,-0.0001674397442174564,-0.000421498552711126,2.162620088901201e-05,0.0,0.0005979799909563519,0.9999279937531185,44.44444444444444
global,ALL,ALL,KAN-maxnet,225,0.008498733956245544,0.0015472632949633854,0.015584355457286678,0.0027445249199422594,0.037818978378895717,0.9340319449628777,52.888888888888886
global,ALL,ALL,IPP-BCE,225,0.005972978352950592,0.0018207309502742206,0.010032610360503747,0.0046094028485411664,0.023616284911613217,0.971690701164969,58.22222222222222
region,AWT,ALL,KAN-GAM,40,4.2358409301059e-05,-0.00020658972822604842,0.00029353200335706896,0.0,0.0005305752480531071,0.9999804981532462,42.5
region,AWT,ALL,KAN-maxnet,40,-0.009454485483558072,-0.025419344604972378,0.006129185189165471,-0.009790350133983688,0.039899957939537836,0.9282283631240743,30.0
region,AWT,ALL,IPP-BCE,40,0.007632801858923821,-0.0040456705887039705,0.0198984019710956,0.007463315722222252,0.03131216864589688,0.9464656046717553,57.49999999999999
region,CAN,ALL,KAN-GAM,20,6.126790328123133e-06,-4.7825324353803416e-05,7.068174313194182e-05,-5.6362917928431955e-06,8.509709016357447e-05,0.9999994699647056,40.0
region,CAN,ALL,KAN-maxnet,20,0.019203070399694423,0.0032579509664653647,0.03844423195667419,0.006489348439957909,0.028281274793300958,0.9666676546156218,60.0
region,CAN,ALL,IPP-BCE,20,-0.008067520207422962,-0.018969416748383598,0.0021216723011076963,-0.0004885151509233243,0.018267089391110807,0.981539502771183,45.0
region,NSW,ALL,KAN-GAM,53,-0.0006761754242271587,-0.0016403181159898364,6.0098809435150775e-05,6.680562236072163e-06,0.0011091776127455189,0.9997747675467658,50.943396226415096
region,NSW,ALL,KAN-maxnet,53,0.001283809217886661,-0.01365607570151785,0.016597807470321767,0.002092592592592535,0.04341957036523503,0.9174933196954898,52.83018867924528
region,NSW,ALL,IPP-BCE,53,-0.0011558199593791508,-0.010375857761876975,0.008581889630865345,-0.003324313877077656,0.022764038054084418,0.9702348871261692,41.509433962264154
region,NZ,ALL,KAN-GAM,52,-0.00016218971909966399,-0.00044811439179375705,9.03791580119094e-05,-2.1398804301631102e-05,0.0005348742003470449,0.9999710704398757,40.38461538461539
region,NZ,ALL,KAN-maxnet,52,0.009351967973338728,-0.005836257661923273,0.026383133394652238,-0.00610840276412683,0.04153350313569004,0.9128222844158684,44.230769230769226
region,NZ,ALL,IPP-BCE,52,0.015692115265305045,0.006091091491836845,0.025543290413950433,0.013644184183463637,0.031071524591037417,0.9630575373055537,67.3076923076923
region,SA,ALL,KAN-GAM,30,0.00016140887931713385,-7.949154420536563e-05,0.0004122926598788782,0.0,0.0004928563659560774,0.9999819510801355,43.333333333333336
region,SA,ALL,KAN-maxnet,30,0.029942739731937357,0.013214649773070259,0.04792583411712625,0.023645917674513184,0.04298272926910589,0.9164743569666585,66.66666666666666
region,SA,ALL,IPP-BCE,30,0.010928531668299223,0.0011533693035502331,0.021091533453188375,0.01529634464337326,0.022582671801718444,0.9700115842614573,70.0
region,SWI,ALL,KAN-GAM,30,-2.0639376608196552e-06,-0.0002097014160026428,0.00020864676901239212,-1.5864662795461726e-05,0.0003411661122514083,0.9999765966455428,46.666666666666664
region,SWI,ALL,KAN-maxnet,30,0.015123557879465144,0.008710402762225192,0.02226824005366438,0.016005949080012516,0.019906168377249636,0.9840648875689656,80.0
region,SWI,ALL,IPP-BCE,30,0.003912365773588178,0.0013365091404601674,0.006771529178235745,0.003423077312555478,0.006538070726763623,0.9965220295212989,70.0
