species_id,ours_auc,valavi_auc,valavi_auprc,n_eval,n_pos,region,delta_auc
awt01,0.4813727208976157,0.5244126928471248,0.2783887248089,340.0,92.0,AWT,-0.043039971949509
awt02,0.7874772036474165,0.7625126646403242,0.6263044089021883,340.0,105.0,AWT,0.0249645390070922
awt03,0.4994305448400014,0.5453543480656894,0.4074037873198703,340.0,129.0,AWT,-0.045923803225688
awt04,0.4883850326888301,0.4910627347336208,0.459165919513837,340.0,158.0,AWT,-0.0026777020447906
awt05,0.7380727616004648,0.7452617820056641,0.2847040531209597,340.0,47.0,AWT,-0.0071890204051993
awt06,0.7244765999091259,0.6373422809408968,0.5999925170932555,340.0,187.0,AWT,0.0871343189682291
awt07,0.5030268363601696,0.5354402021068687,0.2413635022083168,340.0,81.0,AWT,-0.032413365746699
awt08,0.6652763295099061,0.6780051058933516,0.5059881609528246,340.0,137.0,AWT,-0.0127287763834454
awt09,0.7072611653356995,0.6376072167997634,0.1792558079261762,340.0,46.0,AWT,0.0696539485359361
awt10,0.6717745921898172,0.6650601417037404,0.4011524168014176,340.0,102.0,AWT,0.0067144504860767
awt11,0.4067278287461774,0.4756527875793931,0.0359614391057292,340.0,13.0,AWT,-0.0689249588332157
awt12,0.8751929012345679,0.8697916666666665,0.1707578958209702,340.0,16.0,AWT,0.0054012345679014
awt13,0.7493821057834898,0.7613280606360191,0.4910082234660772,340.0,102.0,AWT,-0.0119459548525292
awt14,0.8827412587412587,0.7913846153846155,0.464084636036498,340.0,65.0,AWT,0.0913566433566432
awt15,0.8091158581812787,0.7726969292389854,0.8352548993929725,340.0,214.0,AWT,0.0364189289422933
awt16,0.7377151268115941,0.6894814311594204,0.2585887472636913,340.0,64.0,AWT,0.0482336956521737
awt17,0.8130760722625047,0.8118880832411618,0.5574510481500996,340.0,103.0,AWT,0.0011879890213428
awt18,0.5242889504153033,0.5492071482506922,0.4224450701184609,340.0,137.0,AWT,-0.0249181978353888
awt19,0.6829710144927537,0.6842730978260869,0.2637702755495734,340.0,64.0,AWT,-0.0013020833333332
awt20,0.4892307692307692,0.4891346153846154,0.2150686117348703,340.0,80.0,AWT,9.615384615374588e-05
awt21,0.5878048780487806,0.5475609756097561,0.4261402678917482,102.0,20.0,AWT,0.0402439024390244
awt22,0.7191480017566974,0.7200263504611331,0.5504866155183916,102.0,33.0,AWT,-0.0008783487044357
awt23,0.6561418685121108,0.6492214532871972,0.4557232079689111,102.0,34.0,AWT,0.0069204152249136
awt24,0.6399999999999999,0.5160493827160495,0.3867218759427962,102.0,27.0,AWT,0.1239506172839504
awt25,0.4663461538461538,0.6239316239316239,0.3677018383598759,102.0,24.0,AWT,-0.1575854700854701
awt26,0.7289244186046511,0.720203488372093,0.3326265277957553,102.0,16.0,AWT,0.008720930232558
awt27,0.748641975308642,0.7333333333333334,0.4319387444957357,102.0,27.0,AWT,0.0153086419753085
awt28,0.8798701298701299,0.8766233766233766,0.4808598846850727,102.0,14.0,AWT,0.0032467532467532
awt29,0.8375478927203065,0.849808429118774,0.3656336887073222,102.0,15.0,AWT,-0.0122605363984674
awt30,0.6104523495827844,0.6047430830039526,0.3967472349857632,102.0,33.0,AWT,0.0057092665788317
awt31,0.6987903225806452,0.6540322580645161,0.694823276391057,102.0,62.0,AWT,0.044758064516129
awt32,0.5760188087774295,0.5693573667711599,0.4648995305109156,102.0,44.0,AWT,0.0066614420062696
awt33,0.5833333333333333,0.579594017094017,0.3617191592379793,102.0,24.0,AWT,0.0037393162393162
awt34,0.8390804597701149,0.8781609195402299,0.440041571069704,102.0,15.0,AWT,-0.0390804597701149
awt35,0.6896153846153845,0.7084615384615385,0.6507113988368778,102.0,52.0,AWT,-0.0188461538461539
awt36,0.3760092272202998,0.3883121876201461,0.4424567966566044,102.0,51.0,AWT,-0.0123029603998462
awt37,0.829512051734274,0.8447971781305115,0.6626116412888894,102.0,21.0,AWT,-0.0152851263962374
awt38,0.8263081395348837,0.8023255813953488,0.4369010161559853,102.0,16.0,AWT,0.0239825581395348
awt39,0.8053571428571428,0.8116071428571429,0.6611366363032454,102.0,32.0,AWT,-0.00625
awt40,0.7659200702678963,0.77733860342556,0.5990596506950304,102.0,33.0,AWT,-0.0114185331576637
can01,0.6695720388184682,0.6940576274166801,0.0244801311118429,14571.0,230.0,CAN,-0.0244855885982119
can02,0.707400322859681,0.705305049836767,0.2878938354255716,14571.0,2682.0,CAN,0.002095273022914
can03,0.4602677818619858,0.4694717127675243,0.0460855610092951,14571.0,703.0,CAN,-0.0092039309055385
can04,0.4427758107214311,0.5400290153627028,0.0884641095685443,14571.0,887.0,CAN,-0.0972532046412716
can05,0.6301468390841719,0.6344807020716798,0.0797287383728969,14571.0,846.0,CAN,-0.0043338629875079
can06,0.8883708447808446,0.8897861340638946,0.0224866052871906,14571.0,53.0,CAN,-0.00141528928305
can07,0.6587635887045915,0.6633336876699708,0.0350738228318345,14571.0,333.0,CAN,-0.0045700989653792
can08,0.5380771319149483,0.5416434106783702,0.1946776540640865,14571.0,2600.0,CAN,-0.0035662787634218
can09,0.6999085375200553,0.6866673422740605,0.0203689542430183,14571.0,163.0,CAN,0.0132411952459948
can10,0.6772134244556307,0.6649970113998891,0.1183603344489631,14571.0,1251.0,CAN,0.0122164130557416
can11,0.6012407888317085,0.5967802267155696,0.351326672405495,14571.0,4512.0,CAN,0.0044605621161388
can12,0.511525718437191,0.5106726468603008,0.1424186397988397,14571.0,2045.0,CAN,0.0008530715768901
can13,0.3582614514438328,0.3510622491263055,0.0356263640974258,14571.0,735.0,CAN,0.0071992023175272
can14,0.3017324994707501,0.3470091207395385,0.0210941109548028,14571.0,400.0,CAN,-0.0452766212687884
can15,0.6958828287282062,0.6842118983641431,0.3052616765316225,14571.0,3025.0,CAN,0.011670930364063
can16,0.5023306279386758,0.5176723468114675,0.0233091412227361,14571.0,316.0,CAN,-0.0153417188727916
can17,0.3872319258161708,0.4595974758207839,0.1701122317307911,14571.0,2758.0,CAN,-0.0723655500046131
can18,0.7924747422872936,0.7824286280659535,0.2181953391214281,14571.0,1184.0,CAN,0.0100461142213401
can19,0.5015080428954424,0.4939721248367361,0.0015784011114092,14571.0,24.0,CAN,0.0075359180587062
can20,0.6007668865100315,0.6115198026862273,0.0846135459200512,14571.0,893.0,CAN,-0.0107529161761957
nsw01,0.699462962962963,0.7182037037037037,0.3382375419026429,570.0,120.0,NSW,-0.0187407407407407
nsw02,0.6402174810168373,0.6208216408055464,0.2935445976136583,570.0,104.0,NSW,0.0193958402112909
nsw03,0.6614623991673172,0.701101569954029,0.0968286724237202,570.0,21.0,NSW,-0.0396391707867117
nsw04,0.8520011947431302,0.8421445639187575,0.0937802708936965,570.0,12.0,NSW,0.0098566308243727
nsw05,0.5593867924528302,0.5264150943396226,0.0751901117364348,570.0,40.0,NSW,0.0329716981132075
nsw06,0.4766626393922981,0.4892305128525601,0.3204805827511001,570.0,189.0,NSW,-0.012567873460262
nsw07,0.7640425164189423,0.7418769443484272,0.2193424967294388,570.0,44.0,NSW,0.022165572070515
nsw08,0.8504398826979472,0.8596041055718475,0.1996887259864694,702.0,20.0,NSW,-0.0091642228739002
nsw09,0.5636571428571429,0.6091636363636364,0.1724164234994159,702.0,77.0,NSW,-0.0455064935064934
nsw10,0.9633620689655172,0.9671934865900385,0.4514092538286086,702.0,6.0,NSW,-0.0038314176245211
nsw11,0.6247977190413809,0.6298065808738537,0.0368375108115497,702.0,19.0,NSW,-0.0050088618324727
nsw12,0.6378600823045268,0.648477366255144,0.091714244197704,702.0,27.0,NSW,-0.0106172839506171
nsw13,0.7725849335302807,0.7507828655834564,0.1097240724590126,702.0,25.0,NSW,0.0218020679468242
nsw14,0.657478100136623,0.6617604849542484,0.3385136769050596,702.0,161.0,NSW,-0.0042823848176254
nsw15,0.7884493870845445,0.7803754721485039,0.4137839978960548,702.0,123.0,NSW,0.0080739149360405
