protocol,region,species_id,taxon_group,seed,n_presence,n_PA_test,lambda_s,lambda_selection,lambda_source,background_scheme,objective,remediation,integration_support,n_background,model,converged,runtime_s,skip_reason,auc_roc,auprc,prg,cor,pos_weight,maxnet_max_bg,maxnet_bg_n,tgb_tgb_group,tgb_tgb_n_other_sites,tgb_tgb_n_used,tgb_tgb_excludes_focal_presence
tgb_closure_v1,NSW,nsw04,ba,0,49,570,0.0001,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,additive_kan_ipp,True,7.335330329995486,,0.8629032258064517,0.0904691036700831,0.6550173997711286,0.13852241748670127,,,,,,,
tgb_closure_v1,NSW,nsw04,ba,0,49,570,0.0001,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,gam_ipp_same_basis,True,9.734732130993507,,0.8629032258064517,0.09106536126858072,0.6532567483689,0.13221228071213123,,,,,,,
tgb_closure_v1,NSW,nsw04,ba,0,49,570,0.0001,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,bce_pos_weight,primary,full_background_50k,50000,additive_kan_bce,True,4.456820157007314,,0.8318399044205496,0.06382347160612027,0.5904676002880997,0.12902850189424814,1020.4081632653061,,,,,,
tgb_closure_v1,NSW,nsw04,ba,0,49,570,0.0001,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,maxnet_default,primary,full_background_50k,50000,maxnet_bg10k,True,3.56260539899813,,0.8520011947431302,0.09259844198950312,0.6373649212561225,0.17007751606528757,,10000.0,10000.0,,,,
tgb_closure_v1,NSW,nsw04,ba,0,49,570,0.0001,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,maxnet_default,primary,full_background_50k,50000,maxnet_bg50k,True,11.563308490003692,,0.8508064516129032,0.10714833644687342,0.6414385904644895,0.16898921794154606,,50000.0,50000.0,,,,
tgb_closure_v1,NSW,nsw04,ba,0,49,570,0.0001,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,ipp,primary,tgb_other_po_same_group,138,additive_kan_ipp,True,0.36343719699652866,,0.8149641577060933,0.05470267182402273,0.5112407967434561,0.1411097716791629,,,,ba,138.0,138.0,True
tgb_closure_v1,NSW,nsw04,ba,0,49,570,0.0001,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,ipp,primary,tgb_other_po_same_group,138,gam_ipp_same_basis,True,0.47264549699320924,,0.812126642771804,0.05353994801239648,0.4870994658831403,0.1323078289695314,,,,ba,138.0,138.0,True
tgb_closure_v1,NSW,nsw04,ba,0,49,570,0.0001,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,bce_pos_weight,primary,tgb_other_po_same_group,138,additive_kan_bce,True,0.4369680959935067,,0.8285543608124254,0.10437825964082091,0.6014130271992452,0.15107673422622958,2.816326530612245,,,ba,138.0,138.0,True
tgb_closure_v1,NSW,nsw04,ba,0,49,570,0.0001,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,138,maxnet_bg10k,False,0.9862583930080291,,,,,,,10000.0,138.0,ba,138.0,138.0,True
tgb_closure_v1,NSW,nsw04,ba,0,49,570,0.0001,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,138,maxnet_bg50k,False,0.9514691939984914,,,,,,,50000.0,138.0,ba,138.0,138.0,True
tgb_closure_v1,NSW,nsw06,ba,0,44,570,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,additive_kan_ipp,True,4.523626655995031,,0.475135052562874,0.31133448356324966,-0.037839062096553064,-0.038480035450258514,,,,,,,
tgb_closure_v1,NSW,nsw06,ba,0,44,570,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,gam_ipp_same_basis,True,5.678568463990814,,0.4751906011748531,0.31083212803842,-0.03718536829000621,-0.03446591183477484,,,,,,,
tgb_closure_v1,NSW,nsw06,ba,0,44,570,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,bce_pos_weight,primary,full_background_50k,50000,additive_kan_bce,True,4.502873756006011,,0.5081170409254399,0.3373868973605465,0.031622716895536675,0.005633456979453912,1136.3636363636363,,,,,,
tgb_closure_v1,NSW,nsw06,ba,0,44,570,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,maxnet_default,primary,full_background_50k,50000,maxnet_bg10k,True,2.834289443999296,,0.47666263939229814,0.311859046391992,-0.02980998693939768,-0.0475650695818867,,10000.0,10000.0,,,,
tgb_closure_v1,NSW,nsw06,ba,0,44,570,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,maxnet_default,primary,full_background_50k,50000,maxnet_bg50k,True,10.108767903002445,,0.4756072157646961,0.3116786116096366,-0.04128272433902093,-0.041630912850398535,,50000.0,50000.0,,,,
tgb_closure_v1,NSW,nsw06,ba,0,44,570,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,ipp,primary,tgb_other_po_same_group,143,additive_kan_ipp,True,0.35489308201067615,,0.5189490202613563,0.33689355069887017,0.057697483574412504,0.03303621697479079,,,,ba,143.0,143.0,True
tgb_closure_v1,NSW,nsw06,ba,0,44,570,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,ipp,primary,tgb_other_po_same_group,143,gam_ipp_same_basis,True,0.2711169870017329,,0.5184629699065395,0.33696272126251553,0.05629332729542875,0.03352435915310845,,,,ba,143.0,143.0,True
tgb_closure_v1,NSW,nsw06,ba,0,44,570,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,bce_pos_weight,primary,tgb_other_po_same_group,143,additive_kan_bce,True,0.41969867900479585,,0.51342193336944,0.3342878859415872,0.051486543747726335,0.023197078330466334,3.25,,,ba,143.0,143.0,True
tgb_closure_v1,NSW,nsw06,ba,0,44,570,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,143,maxnet_bg10k,False,0.9215141539898468,,,,,,,10000.0,143.0,ba,143.0,143.0,True
tgb_closure_v1,NSW,nsw06,ba,0,44,570,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,143,maxnet_bg50k,False,1.0424679480056511,,,,,,,50000.0,143.0,ba,143.0,143.0,True
tgb_closure_v1,NSW,nsw09,db,0,426,702,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,additive_kan_ipp,True,4.423877679000725,,0.587864935064935,0.17157843436975517,0.1914834478634451,0.1070227499602522,,,,,,,
tgb_closure_v1,NSW,nsw09,db,0,426,702,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,gam_ipp_same_basis,True,5.883235197994509,,0.5879272727272727,0.17161117386976443,0.1915938911545185,0.10668351616802194,,,,,,,
tgb_closure_v1,NSW,nsw09,db,0,426,702,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,bce_pos_weight,primary,full_background_50k,50000,additive_kan_bce,True,4.558371873004944,,0.5623688311688311,0.12321921845214961,0.13205453435854647,0.07059985868630121,117.37089201877934,,,,,,
tgb_closure_v1,NSW,nsw09,db,0,426,702,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,maxnet_default,primary,full_background_50k,50000,maxnet_bg10k,True,14.458871708004153,,0.5636571428571429,0.1390226495693579,0.14435790331288234,0.07156088076910924,,10000.0,10000.0,,,,
tgb_closure_v1,NSW,nsw09,db,0,426,702,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,maxnet_default,primary,full_background_50k,50000,maxnet_bg50k,True,71.10465401200054,,0.5717402597402597,0.15533295181881737,0.17263636222318826,0.08118301836565615,,50000.0,50000.0,,,,
tgb_closure_v1,NSW,nsw09,db,0,426,702,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,ipp,primary,tgb_other_po_same_group,1087,additive_kan_ipp,True,0.4819387120078318,,0.6816831168831168,0.17153838040505148,0.40364461050965555,0.17275873651874513,,,,db,1087.0,1087.0,True
tgb_closure_v1,NSW,nsw09,db,0,426,702,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,ipp,primary,tgb_other_po_same_group,1087,gam_ipp_same_basis,True,0.39400092999858316,,0.6816831168831169,0.17153929049076283,0.40359866755561663,0.1738737543744748,,,,db,1087.0,1087.0,True
tgb_closure_v1,NSW,nsw09,db,0,426,702,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,bce_pos_weight,primary,tgb_other_po_same_group,1087,additive_kan_bce,True,0.5572678440075833,,0.6722285714285714,0.1592720457197854,0.35901045392237707,0.16081133349842314,2.551643192488263,,,db,1087.0,1087.0,True
tgb_closure_v1,NSW,nsw09,db,0,426,702,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,1087,maxnet_bg10k,True,2.5315338969958248,,0.6624623376623376,0.1579782262431964,0.357738865326207,0.16387245179142845,,10000.0,1087.0,db,1087.0,1087.0,True
tgb_closure_v1,NSW,nsw09,db,0,426,702,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,1087,maxnet_bg50k,True,2.6570544069982134,,0.6624623376623376,0.1579782262431964,0.357738865326207,0.16387245179142845,,50000.0,1087.0,db,1087.0,1087.0,True
