model,pair_rule,n_paired,mean_auc_random,mean_auc_tgb,mean_delta_tgb_minus_random,ci_lo,ci_hi,median_delta,sd_delta
additive_kan_bce,finite_pair,12,0.6564534200850939,0.6468740267795611,-0.009579393305532813,-0.05064032099933348,0.02955967104870392,-0.00863929640622052,0.07425672476955116
additive_kan_bce,both_converged,12,0.6564534200850939,0.6468740267795611,-0.009579393305532813,-0.05064032099933348,0.02955967104870392,-0.00863929640622052,0.07425672476955116
additive_kan_ipp,finite_pair,12,0.6532046018104806,0.6521788262355073,-0.0010257755749733949,-0.043197923078582515,0.04317729937779625,-0.00035859645091607106,0.08283204555862449
additive_kan_ipp,both_converged,12,0.6532046018104806,0.6521788262355073,-0.0010257755749733949,-0.043197923078582515,0.04317729937779625,-0.00035859645091607106,0.08283204555862449
gam_ipp_same_basis,finite_pair,12,0.6531804950779595,0.6517353619885174,-0.0014451330894421587,-0.04363926333498625,0.04290436205199427,-0.00035503611026266313,0.0830036261254115
gam_ipp_same_basis,both_converged,12,0.6531804950779595,0.6517353619885174,-0.0014451330894421587,-0.04363926333498625,0.04290436205199427,-0.00035503611026266313,0.0830036261254115
maxnet_bg10k,finite_pair,5,0.6310539770097057,0.6920022889810948,0.06094831197138926,0.010502009624496633,0.11348718122151184,0.04657637642769674,0.06676417524109328
maxnet_bg10k,both_converged,5,0.6310539770097057,0.6920022889810948,0.06094831197138926,0.010502009624496633,0.11348718122151184,0.04657637642769674,0.06676417524109328
maxnet_bg50k,finite_pair,5,0.6363474500222158,0.6920022889810948,0.05565483895887917,0.00711986304704233,0.10662345897854783,0.04100088296448212,0.06468431336763796
maxnet_bg50k,both_converged,5,0.6363474500222158,0.6920022889810948,0.05565483895887917,0.00711986304704233,0.10662345897854783,0.04100088296448212,0.06468431336763796
