region,species_id,taxon_group,n_presence,lambda_s,lambda_selection,model,auc_random,auc_tgb,delta_tgb_minus_random,n_bg_random,n_bg_tgb,converged_random,converged_tgb,skip_random,skip_tgb
NSW,nsw04,ba,49,0.0001,po_random_5fold,additive_kan_bce,0.8318399044205496,0.8285543608124254,-0.003285543608124164,50000,138,True,True,,
NSW,nsw04,ba,49,0.0001,po_random_5fold,additive_kan_ipp,0.8629032258064517,0.8149641577060933,-0.04793906810035842,50000,138,True,True,,
NSW,nsw04,ba,49,0.0001,po_random_5fold,gam_ipp_same_basis,0.8629032258064517,0.812126642771804,-0.050776583034647715,50000,138,True,True,,
NSW,nsw04,ba,49,0.0001,po_random_5fold,maxnet_bg10k,0.8520011947431302,,,50000,138,True,False,,
NSW,nsw04,ba,49,0.0001,po_random_5fold,maxnet_bg50k,0.8508064516129032,,,50000,138,True,False,,
NSW,nsw06,ba,44,1.0,po_random_5fold,additive_kan_bce,0.5081170409254399,0.51342193336944,0.00530489244400012,50000,143,True,True,,
NSW,nsw06,ba,44,1.0,po_random_5fold,additive_kan_ipp,0.475135052562874,0.5189490202613563,0.043813967698482226,50000,143,True,True,,
NSW,nsw06,ba,44,1.0,po_random_5fold,gam_ipp_same_basis,0.4751906011748531,0.5184629699065395,0.043272368731686384,50000,143,True,True,,
NSW,nsw06,ba,44,1.0,po_random_5fold,maxnet_bg10k,0.47666263939229814,,,50000,143,True,False,,
NSW,nsw06,ba,44,1.0,po_random_5fold,maxnet_bg50k,0.4756072157646961,,,50000,143,True,False,,
NSW,nsw09,db,426,1.0,po_random_5fold,additive_kan_bce,0.5623688311688311,0.6722285714285714,0.10985974025974032,50000,1087,True,True,,
NSW,nsw09,db,426,1.0,po_random_5fold,additive_kan_ipp,0.587864935064935,0.6816831168831168,0.0938181818181818,50000,1087,True,True,,
NSW,nsw09,db,426,1.0,po_random_5fold,gam_ipp_same_basis,0.5879272727272727,0.6816831168831169,0.09375584415584415,50000,1087,True,True,,
NSW,nsw09,db,426,1.0,po_random_5fold,maxnet_bg10k,0.5636571428571429,0.6624623376623376,0.09880519480519478,50000,1087,True,True,,
NSW,nsw09,db,426,1.0,po_random_5fold,maxnet_bg50k,0.5717402597402597,0.6624623376623376,0.09072207792207798,50000,1087,True,True,,
NSW,nsw14,db,315,0.01,po_random_5fold,additive_kan_bce,0.6566285117277643,0.7530453152087807,0.09641680348101644,50000,1198,True,True,,
NSW,nsw14,db,315,0.01,po_random_5fold,additive_kan_ipp,0.6493610865546894,0.7671898141238331,0.11782872756914375,50000,1198,True,True,,
NSW,nsw14,db,315,0.01,po_random_5fold,gam_ipp_same_basis,0.649223315461361,0.7663861494127506,0.1171628339513896,50000,1198,True,True,,
NSW,nsw14,db,315,0.01,po_random_5fold,maxnet_bg10k,0.657478100136623,0.8138712529132845,0.15639315277666155,50000,1198,True,True,,
NSW,nsw14,db,315,0.01,po_random_5fold,maxnet_bg50k,0.6646192351408136,0.8138712529132845,0.149252017772471,50000,1198,True,True,,
NSW,nsw16,nb,120,1.0,po_random_5fold,additive_kan_bce,0.6332540698737882,0.6192610206694713,-0.013993049204316876,50000,148,True,True,,
NSW,nsw16,nb,120,1.0,po_random_5fold,additive_kan_ipp,0.6545918869862531,0.6264650842115631,-0.02812680277469004,50000,148,True,True,,
NSW,nsw16,nb,120,1.0,po_random_5fold,gam_ipp_same_basis,0.6546129926411617,0.6264650842115631,-0.028147908429598578,50000,148,True,True,,
NSW,nsw16,nb,120,1.0,po_random_5fold,maxnet_bg10k,0.6365465520395097,0.6359978050118895,-0.0005487470276202,50000,148,True,True,,
NSW,nsw16,nb,120,1.0,po_random_5fold,maxnet_bg50k,0.6413586413586413,0.6359978050118895,-0.005360836346751774,50000,148,True,True,,
NSW,nsw17,nb,148,0.1,po_random_5fold,additive_kan_bce,0.571256657837022,0.504151357201857,-0.06710530063516496,50000,120,True,True,,
NSW,nsw17,nb,148,0.1,po_random_5fold,additive_kan_ipp,0.5228858697200147,0.5271796405480077,0.004293770827992982,50000,120,True,True,,
NSW,nsw17,nb,148,0.1,po_random_5fold,gam_ipp_same_basis,0.522878749038708,0.5271796405480077,0.004300891509299687,50000,120,True,True,,
NSW,nsw17,nb,148,0.1,po_random_5fold,maxnet_bg10k,0.5078185080748525,0.5543948845025493,0.04657637642769674,50000,120,True,True,,
NSW,nsw17,nb,148,0.1,po_random_5fold,maxnet_bg50k,0.5133940015380671,0.5543948845025493,0.04100088296448212,50000,120,True,True,,
NSW,nsw18,ot,69,0.1,po_random_5fold,additive_kan_bce,0.7024381428968586,0.7365137614678899,0.03407561857103136,50000,270,True,True,,
NSW,nsw18,ot,69,0.1,po_random_5fold,additive_kan_ipp,0.6406894634417569,0.7411009174311927,0.10041145398943574,50000,270,True,True,,
NSW,nsw18,ot,69,0.1,po_random_5fold,gam_ipp_same_basis,0.640565749235474,0.7410494856825132,0.10048373644703912,50000,270,True,True,,
NSW,nsw18,ot,69,0.1,po_random_5fold,maxnet_bg10k,0.7380191826522102,,,50000,270,True,False,,
NSW,nsw18,ot,69,0.1,po_random_5fold,maxnet_bg50k,0.7389630247428414,,,50000,270,True,False,,
NSW,nsw24,ot,68,1.0,po_random_5fold,additive_kan_bce,0.6865961189156877,0.7163279148368703,0.02973179592118258,50000,271,True,True,,
NSW,nsw24,ot,68,1.0,po_random_5fold,additive_kan_ipp,0.6774279769158255,0.7039494861242038,0.02652150920837837,50000,271,True,True,,
NSW,nsw24,ot,68,1.0,po_random_5fold,gam_ipp_same_basis,0.6773848665302462,0.7038402731474029,0.02645540661715673,50000,271,True,True,,
NSW,nsw24,ot,68,1.0,po_random_5fold,maxnet_bg10k,0.5854476582438554,,,50000,271,True,False,,
NSW,nsw24,ot,68,1.0,po_random_5fold,maxnet_bg50k,0.5879739268388017,,,50000,271,True,False,,
